kenteken;voertuigsoort;merk;handelsbenaming;vervaldatum_apk;datum_tenaamstelling;bruto_bpm;inrichting;aantal_zitplaatsen;eerste_kleur;tweede_kleur;aantal_cilinders;cilinderinhoud;massa_ledig_voertuig;toegestane_maximum_massa_voertuig;massa_rijklaar;maximum_massa_trekken_ongeremd;maximum_trekken_massa_geremd;datum_eerste_toelating;datum_eerste_tenaamstelling_in_nederland;wacht_op_keuren;wam_verzekerd;aantal_deuren;aantal_wielen;afstand_hart_koppeling_tot_achterzijde_voertuig;afstand_voorzijde_voertuig_tot_hart_koppeling;lengte;breedte;europese_voertuigcategorie;plaats_chassisnummer;technische_max_massa_voertuig;type;typegoedkeuringsnummer;variant;uitvoering;volgnummer_wijziging_eu_typegoedkeuring;vermogen_massarijklaar;wielbasis;export_indicator;openstaande_terugroepactie_indicator;taxi_indicator;maximum_massa_samenstelling;aantal_rolstoelplaatsen;jaar_laatste_registratie_tellerstand;tellerstandoordeel;code_toelichting_tellerstandoordeel;tenaamstellen_mogelijk;vervaldatum_apk_dt;datum_tenaamstelling_dt;datum_eerste_toelating_dt;datum_eerste_tenaamstelling_in_nederland_dt;zuinigheidsclassificatie;api_gekentekende_voertuigen_assen;api_gekentekende_voertuigen_brandstof;api_gekentekende_voertuigen_carrosserie;api_gekentekende_voertuigen_carrosserie_specifiek;api_gekentekende_voertuigen_voertuigklasse;catalogusprijs;maximum_ondersteunende_snelheid;maximum_last_onder_de_vooras_sen_tezamen_koppeling;maximale_constructiesnelheid;hoogte_voertuig;laadvermogen;aanhangwagen_middenas_geremd;aanhangwagen_autonoom_geremd;registratie_datum_goedkeuring_afschrijvingsmoment_bpm;registratie_datum_goedkeuring_afschrijvingsmoment_bpm_dt;verticale_belasting_koppelpunt_getrokken_voertuig;type_gasinstallatie;oplegger_geremd;vervaldatum_tachograaf;vervaldatum_tachograaf_dt;subcategorie_nederland
32ZHTK;Personenauto;TOYOTA;TOYOTA RAV4;20230222;20140918;9393;MPV;5;GRIJS;Niet geregistreerd;4;1998;1440;2070;1540;750;2000;20080222;20080222;Geen verstrekking in Open Data;Ja;4;4;0;0;0;0;M1;op bodemplaat onder r. voorzitting;2070;XA3(A);e6*2001/116*0105*02;ACA30(W);ACA30L-AWMGKW(3C);0;0.07;256;Nee;Nee;Nee;4070;0;2022;Logisch;00;Ja;2023-02-22T00:00:00.000;2014-09-18T00:00:00.000;2008-02-22T00:00:00.000;2008-02-22T00:00:00.000;E;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;37625;0;;;;;;;;;;;;;;
XHSX71;Personenauto;TOYOTA;TOYOTA COROLLA;20230205;20101118;3386;sedan;5;ROOD;Niet geregistreerd;4;1587;1035;1615;1135;450;1200;19981202;19981202;Geen verstrekking in Open Data;Ja;4;4;0;0;430;0;M1;midden tegen schutbord onder motorkap;1615;;e6*95/54*0043*01;AE111(EM);AE111L-AEMDKW(11);1;0.07;247;Nee;Nee;Nee;2815;0;2021;Logisch;00;Ja;2023-02-05T00:00:00.000;2010-11-18T00:00:00.000;1998-12-02T00:00:00.000;1998-12-02T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;
38JXP6;Personenauto;TOYOTA;TOYOTA COROLLA VERSO;20221229;20091125;5798;stationwagen;7;GRIJS;Niet geregistreerd;4;1794;1370;2035;1470;450;1300;20051223;20091125;Geen verstrekking in Open Data;Ja;4;4;;;;;M1;schutbord;2035;;;;;;0.06;275;Nee;Nee;Nee;;;2021;Geen oordeel;05;Ja;2022-12-29T00:00:00.000;2009-11-25T00:00:00.000;2005-12-23T00:00:00.000;2009-11-25T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;0;;;;;;;;;;;;;
72JVZ5;Personenauto;TOYOTA;TOYOTA URBAN CRUISER;20230308;20170331;4068;MPV;5;ZWART;Niet geregistreerd;4;1329;1105;1590;1205;550;800;20090924;20090924;Geen verstrekking in Open Data;Ja;4;4;0;0;393;0;M1;r. voorzitting;1590;XP11(A);e11*2001/116*0263*00;NSP110(H);NSP110L-AHFNKW(2A);0;0.06;246;Nee;Nee;Nee;2390;0;2022;Logisch;00;Ja;2023-03-08T00:00:00.000;2017-03-31T00:00:00.000;2009-09-24T00:00:00.000;2009-09-24T00:00:00.000;B;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;22085;;;;;;;;;;;;;;;
00PLR5;Personenauto;TOYOTA;TOYOTA AYGO;20230224;20210729;;hatchback;4;ZWART;Niet geregistreerd;3;998;805;1190;905;;;20110224;20110224;Geen verstrekking in Open Data;Ja;4;4;0;0;342;0;M1;r. op bodemplaat by voorzitting;1190;AB1;e11*2001/116*0236*08;KGB10(H);KGB10L-AHMGKW(3J);0;0.06;234;Nee;Nee;Nee;0;0;2022;Logisch;00;Ja;2023-02-24T00:00:00.000;2021-07-29T00:00:00.000;2011-02-24T00:00:00.000;2011-02-24T00:00:00.000;A;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;11865;;;;;;;;;;;;;;;
99JVZ4;Personenauto;TOYOTA;TOYOTA IQ;20220922;20211222;;coupe;4;PAARS;Niet geregistreerd;3;998;835;1210;935;;;20090922;20090922;Geen verstrekking in Open Data;Ja;2;4;0;0;299;0;M1;by dwarsbalk;1210;AJ1(A);e6*2001/116*0119*01;KGJ10(G);KGJ10L-BGXNGW(2B);0;0.05;200;Nee;Nee;Nee;0;0;2021;Logisch;00;Ja;2022-09-22T00:00:00.000;2021-12-22T00:00:00.000;2009-09-22T00:00:00.000;2009-09-22T00:00:00.000;A;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;15940;;;;;;;;;;;;;;;
31HDN1;Personenauto;TOYOTA;TOYOTA AYGO;20230104;20210924;680;hatchback;4;GRIJS;Niet geregistreerd;3;998;780;1190;880;;;20081028;20081028;Geen verstrekking in Open Data;Ja;4;4;0;0;341;0;M1;r. op bodemplaat by voorzitting;1190;AB1;e11*2001/116*0236*05;KGB10(H);KGB10L-AHMRKW(1F);0;0.06;234;Nee;Ja;Nee;0;0;2021;Logisch;00;Ja;2023-01-04T00:00:00.000;2021-09-24T00:00:00.000;2008-10-28T00:00:00.000;2008-10-28T00:00:00.000;A;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;10590;;;;;;;;;;;;;;;
72TPS1;Personenauto;TOYOTA;TOYOTA AURIS;20230129;20190201;;MPV;5;BLAUW;Niet geregistreerd;4;1798;1355;1805;1455;;;20120330;20120330;Geen verstrekking in Open Data;Ja;4;4;0;0;425;0;M1;by bodemplaat r. voorzitting;1805;HE15U(A);e11*2007/46*0018*03;ZWE150(H);ZWE150L-DHXNBW(2N);0;0.01;260;Nee;Nee;Nee;0;0;2021;Logisch;00;Ja;2023-01-29T00:00:00.000;2019-02-01T00:00:00.000;2012-03-30T00:00:00.000;2012-03-30T00:00:00.000;A;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;22490;;;;;;;;;;;;;;;
82GVGG;Personenauto;TOYOTA;TOYOTA YARIS VERSO;20230210;20150914;4039;stationwagen;5;GRIJS;Niet geregistreerd;4;1299;1019;1530;1119;400;900;20010403;20010403;Geen verstrekking in Open Data;Ja;5;4;;;;;M1;midden tegen schutbord onder motorkap;1530;;;;;;0.06;250;Nee;Nee;Nee;2430;;2021;Logisch;00;Ja;2023-02-10T00:00:00.000;2015-09-14T00:00:00.000;2001-04-03T00:00:00.000;2001-04-03T00:00:00.000;D;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;G3 gasinstallatie;;;;
31KHF6;Personenauto;TOYOTA;TOYOTA AYGO;20221212;20171006;;hatchback;4;BLAUW;Niet geregistreerd;3;998;815;1190;915;;;20091130;20091130;Geen verstrekking in Open Data;Ja;4;4;0;0;342;0;M1;r. op bodemplaat by voorzitting;1190;AB1;e11*2001/116*0236*06;KGB10(H);KGB10L-AHGGKW(1G);0;0.05;234;Nee;Nee;Nee;0;0;2021;Onlogisch;04;Ja;2022-12-12T00:00:00.000;2017-10-06T00:00:00.000;2009-11-30T00:00:00.000;2009-11-30T00:00:00.000;A;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;11664;;;;;;;;;;;;;;;
