kenteken;voertuigsoort;merk;handelsbenaming;vervaldatum_apk;datum_tenaamstelling;bruto_bpm;inrichting;aantal_zitplaatsen;eerste_kleur;tweede_kleur;aantal_cilinders;cilinderinhoud;massa_ledig_voertuig;toegestane_maximum_massa_voertuig;massa_rijklaar;maximum_massa_trekken_ongeremd;maximum_trekken_massa_geremd;datum_eerste_toelating;datum_eerste_tenaamstelling_in_nederland;wacht_op_keuren;wam_verzekerd;aantal_deuren;aantal_wielen;afstand_hart_koppeling_tot_achterzijde_voertuig;afstand_voorzijde_voertuig_tot_hart_koppeling;lengte;breedte;europese_voertuigcategorie;plaats_chassisnummer;technische_max_massa_voertuig;type;typegoedkeuringsnummer;variant;uitvoering;volgnummer_wijziging_eu_typegoedkeuring;vermogen_massarijklaar;wielbasis;export_indicator;openstaande_terugroepactie_indicator;taxi_indicator;maximum_massa_samenstelling;aantal_rolstoelplaatsen;jaar_laatste_registratie_tellerstand;tellerstandoordeel;code_toelichting_tellerstandoordeel;tenaamstellen_mogelijk;vervaldatum_apk_dt;datum_tenaamstelling_dt;datum_eerste_toelating_dt;datum_eerste_tenaamstelling_in_nederland_dt;zuinigheidsclassificatie;api_gekentekende_voertuigen_assen;api_gekentekende_voertuigen_brandstof;api_gekentekende_voertuigen_carrosserie;api_gekentekende_voertuigen_carrosserie_specifiek;api_gekentekende_voertuigen_voertuigklasse;catalogusprijs;maximum_ondersteunende_snelheid;maximum_last_onder_de_vooras_sen_tezamen_koppeling;maximale_constructiesnelheid;hoogte_voertuig;laadvermogen;aanhangwagen_middenas_geremd;aanhangwagen_autonoom_geremd;registratie_datum_goedkeuring_afschrijvingsmoment_bpm;registratie_datum_goedkeuring_afschrijvingsmoment_bpm_dt;verticale_belasting_koppelpunt_getrokken_voertuig;type_gasinstallatie;oplegger_geremd;vervaldatum_tachograaf;vervaldatum_tachograaf_dt;subcategorie_nederland
HT999X;Personenauto;TOYOTA;TOYOTA AVENSIS;20230214;20211222;6571;stationwagen;5;GRIJS;Niet geregistreerd;4;1998;1330;1895;1430;500;1400;20040622;20160219;Geen verstrekking in Open Data;Ja;4;4;0;0;0;0;M1;midden tegen schutbord onder motorkap;1895;T25;e11*2001/116*0196*01;AZT250(W);AZT250L-AWMGHW(1B);0;0.08;270;Nee;Nee;Nee;3295;0;2021;Geen oordeel;05;Ja;2023-02-14T00:00:00.000;2021-12-22T00:00:00.000;2004-06-22T00:00:00.000;2016-02-19T00:00:00.000;C;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;
7SVD52;Personenauto;TOYOTA;TOYOTA YARIS HYBRID;20221222;20131221;;MPV;5;BLAUW;Niet geregistreerd;4;1497;1060;1565;1160;;;20131221;20131221;Geen verstrekking in Open Data;Ja;4;4;0;0;391;0;M1;r. voorzitting;1565;XP13M(A);e11*2007/46*0152*06;NHP13(MH);NHP130L-CHXNBW(1G);0;0.01;251;Nee;Nee;Nee;1565;0;2021;Logisch;00;Ja;2022-12-22T00:00:00.000;2013-12-21T00:00:00.000;2013-12-21T00:00:00.000;2013-12-21T00:00:00.000;A;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20760;;;;;;;;;;;;;;;
5TNH63;Personenauto;TOYOTA;TOYOTA AURIS;20230109;20180112;;MPV;5;WIT;Niet geregistreerd;4;1798;1310;1815;1410;345;345;20140423;20140423;Geen verstrekking in Open Data;Ja;4;4;0;0;456;0;M1;by bodemplaat r. voorzitting;1815;HE15U(A);e11*2007/46*0018*06;ZWE186(W);ZWE186L-DWXNBW(FR);0;0.01;260;Nee;Nee;Nee;2160;0;2021;Logisch;00;Ja;2023-01-09T00:00:00.000;2018-01-12T00:00:00.000;2014-04-23T00:00:00.000;2014-04-23T00:00:00.000;A;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;28680;;;;;;;;;;;;;;;
74TPD8;Personenauto;TOYOTA;TOYOTA AYGO;20230315;20180828;;hatchback;4;ORANJE;Niet geregistreerd;3;998;805;1190;905;;;20120316;20120316;Geen verstrekking in Open Data;Ja;4;4;0;0;343;0;M1;r. op bodemplaat by voorzitting;1190;AB1;e11*2001/116*0236*09;KGB10(H);KGB10L-AHMGKW(3K);0;0.06;234;Nee;Nee;Nee;0;0;2022;Logisch;00;Ja;2023-03-15T00:00:00.000;2018-08-28T00:00:00.000;2012-03-16T00:00:00.000;2012-03-16T00:00:00.000;A;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;11120;;;;;;;;;;;;;;;
RT923J;Personenauto;TOYOTA;TOYOTA YARIS;20230115;20180220;2875;MPV;5;GRIJS;Niet geregistreerd;4;1329;1010;1480;1110;550;900;20131010;20180220;Geen verstrekking in Open Data;Ja;4;4;0;0;389;0;M1;r. voorzitting;1480;XP13M(A);e11*2007/46*0152*05;NSP13F(MH);NSP130L-CHXNKW(4F);0;0.07;251;Nee;Nee;Nee;2380;0;2021;Geen oordeel;05;Ja;2023-01-15T00:00:00.000;2018-02-20T00:00:00.000;2013-10-10T00:00:00.000;2018-02-20T00:00:00.000;B;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;19009;0;;;;;;;;;;;;;;
80TSZK;Personenauto;TOYOTA;TOYOTA AYGO;20230126;20110809;1322;hatchback;4;ZWART;Niet geregistreerd;3;998;815;1190;915;;;20070126;20070126;Geen verstrekking in Open Data;Ja;4;4;0;0;341;0;M1;r. op bodemplaat by voorzitting;1190;;e11*2001/116*0236*03;KGB10(H);KGB10L-AHGGKW(1D);0;0.05;234;Nee;Nee;Nee;0;0;2021;Logisch;00;Ja;2023-01-26T00:00:00.000;2011-08-09T00:00:00.000;2007-01-26T00:00:00.000;2007-01-26T00:00:00.000;A;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;11490;;;;;;;;;;;;;;;
RV030D;Personenauto;TOYOTA;TOYOTA AYGO;20230208;20220216;128;hatchback;4;ROOD;Niet geregistreerd;3;998;775;1180;875;;;20071130;20180217;Geen verstrekking in Open Data;Ja;2;4;0;0;341;0;M1;r. op bodemplaat by voorzitting;1180;;e11*2001/116*0236*04;KGB10(G);KGB10L-AGMRKW(1E);0;0.06;234;Nee;Nee;Nee;0;0;2022;Geen oordeel;05;Ja;2023-02-08T00:00:00.000;2022-02-16T00:00:00.000;2007-11-30T00:00:00.000;2018-02-17T00:00:00.000;A;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;
42RGK9;Personenauto;TOYOTA;TOYOTA AYGO;20230103;20160112;;hatchback;4;GRIJS;Niet geregistreerd;3;998;780;1190;880;;;20110520;20110520;Geen verstrekking in Open Data;Ja;4;4;0;0;342;0;M1;r. op bodemplaat by voorzitting;1190;AB1;e11*2001/116*0236*08;KGB10(H);KGB10L-AHMRKW(3J);1;0.06;234;Nee;Nee;Nee;0;0;2021;Logisch;00;Ja;2023-01-03T00:00:00.000;2016-01-12T00:00:00.000;2011-05-20T00:00:00.000;2011-05-20T00:00:00.000;A;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;9865;;;;;;;;;;;;;;;
JL683R;Personenauto;TOYOTA;TOYOTA AYGO;20240113;20200117;1891;hatchback;4;WIT;Niet geregistreerd;3;998;835;1240;935;;;20160507;20160507;Geen verstrekking in Open Data;Ja;4;4;0;0;346;0;M1;onder r. voorzitting;1240;AB1;e11*2001/116*0236*12;KGB40(H);KGB40L-AHGGKW(1N);0;0.05;234;Nee;Nee;Nee;1240;0;2021;Logisch;00;Ja;2024-01-13T00:00:00.000;2020-01-17T00:00:00.000;2016-05-07T00:00:00.000;2016-05-07T00:00:00.000;B;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;14440;;;;;;;;;;;;;;;
22SKDB;Personenauto;TOYOTA;TOYOTA YARIS;20230203;20191231;3682;MPV;5;BLAUW;Niet geregistreerd;4;1298;995;1480;1095;547;900;20060210;20060210;Geen verstrekking in Open Data;Ja;2;4;0;0;0;0;M1;r. op bodemplaat by voorzitting;1480;;e11*2001/116*0249*00;SCP90(G);SCP90L-CGMGKW(1A);0;0.06;246;Nee;Nee;Nee;2380;0;2021;Logisch;00;Ja;2023-02-03T00:00:00.000;2019-12-31T00:00:00.000;2006-02-10T00:00:00.000;2006-02-10T00:00:00.000;C;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;17430;;;;;;;;;;;;;;;
TF700G;Personenauto;TOYOTA;TOYOTA AYGO;20230331;20220113;205;hatchback;4;BLAUW;Niet geregistreerd;3;998;805;1190;905;;;20071219;20180711;Geen verstrekking in Open Data;Ja;4;4;0;0;341;0;M1;r. op bodemplaat by voorzitting;1190;AB1;e11*2001/116*0236*04;KGB10(H);KGB10L-AHMGKW(1E);0;0.06;234;Nee;Nee;Nee;0;0;2022;Onlogisch;04;Ja;2023-03-31T00:00:00.000;2022-01-13T00:00:00.000;2007-12-19T00:00:00.000;2018-07-11T00:00:00.000;A;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;
KS366K;Personenauto;TOYOTA;TOYOTA COROLLA VERSO;20221229;20161229;5686;stationwagen;5;GRIJS;Niet geregistreerd;4;1598;1330;2035;1430;450;1200;20070102;20161229;Geen verstrekking in Open Data;Ja;4;4;0;0;0;0;M1;midden tegen schutbord onder motorkap;2035;R1;e11*2001/116*0222*04;ZNR10(W);ZNR10L-GWMEKW(1E);0;0.06;275;Nee;Nee;Nee;3235;0;2021;Geen oordeel;05;Ja;2022-12-29T00:00:00.000;2016-12-29T00:00:00.000;2007-01-02T00:00:00.000;2016-12-29T00:00:00.000;D;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;
HV218H;Personenauto;TOYOTA;TOYOTA AURIS;20231228;20180312;667;MPV;5;GRIJS;Niet geregistreerd;4;1798;1310;1865;1410;345;345;20151228;20151228;Geen verstrekking in Open Data;Ja;4;4;0;0;460;0;M1;onder r. voorzitting;1865;HE15U(A);e11*2007/46*0018*10;ZWE186(W);ZWE186L-DWXGBW(7V);0;0.05;260;Nee;Nee;Nee;2210;0;2021;Logisch;00;Ja;2023-12-28T00:00:00.000;2018-03-12T00:00:00.000;2015-12-28T00:00:00.000;2015-12-28T00:00:00.000;A;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;31445;;;;;;;;;;;;;;;
63GNSF;Personenauto;TOYOTA;TOYOTA YARIS;20221220;20211222;2578;hatchback;5;GRIJS;Niet geregistreerd;4;1299;860;1350;960;400;900;20010123;20010123;Geen verstrekking in Open Data;Ja;2;4;0;0;0;0;M1;midden tegen schutbord onder motorkap;1350;;e6*98/14*0064*04;NCP10(G);NCP10L-AGMNKW(1E);1;0.07;237;Nee;Nee;Nee;2250;0;2021;Onlogisch;04;Ja;2022-12-20T00:00:00.000;2021-12-22T00:00:00.000;2001-01-23T00:00:00.000;2001-01-23T00:00:00.000;B;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;
9SRS93;Personenauto;TOYOTA;TOYOTA AYGO;20221223;20131223;500;hatchback;4;GRIJS;Niet geregistreerd;3;998;780;1190;880;;;20131223;20131223;Geen verstrekking in Open Data;Ja;4;4;0;0;343;0;M1;r. op bodemplaat by voorzitting;1190;AB1;e11*2001/116*0236*10;KGB10(H);KGB10L-AHMRKW(3L);0;0.06;234;Nee;Nee;Nee;0;0;2021;Logisch;00;Ja;2022-12-23T00:00:00.000;2013-12-23T00:00:00.000;2013-12-23T00:00:00.000;2013-12-23T00:00:00.000;A;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;10144;;;;;;;;;;;;;;;
92KBP2;Personenauto;TOYOTA;TOYOTA YARIS;20221222;20091009;2294;MPV;5;GRIJS;Niet geregistreerd;4;1329;1015;1480;1115;550;750;20091009;20091009;Geen verstrekking in Open Data;Ja;4;4;0;0;379;0;M1;r. op bodemplaat by voorzitting;1480;XP9F(A);e11*2001/116*0249*04;NSP90(H);NSP90L-CHLGKW(1E);1;0.07;246;Nee;Nee;Nee;2230;0;2021;Logisch;00;Ja;2022-12-22T00:00:00.000;2009-10-09T00:00:00.000;2009-10-09T00:00:00.000;2009-10-09T00:00:00.000;A;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;17116;;;;;;;;;;;;;;;
02LPN7;Personenauto;TOYOTA;TOYOTA YARIS;20230206;20100618;1616;MPV;5;GRIJS;Niet geregistreerd;4;1329;1025;1480;1125;550;900;20100618;20100618;Geen verstrekking in Open Data;Ja;4;4;0;0;379;0;M1;r. op bodemplaat by voorzitting;1480;XP9F(A);e11*2001/116*0249*04;NSP90(H);NSP90L-CHFGKW(3E);1;0.07;246;Nee;Nee;Nee;2380;0;2021;Logisch;00;Ja;2023-02-06T00:00:00.000;2010-06-18T00:00:00.000;2010-06-18T00:00:00.000;2010-06-18T00:00:00.000;B;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;16010;;;;;;;;;;;;;;;
77SVRT;Personenauto;TOYOTA;TOYOTA COROLLA;20221112;20211220;4769;hatchback;5;ZWART;Niet geregistreerd;4;1598;1125;1655;1225;450;1300;20060518;20060518;Geen verstrekking in Open Data;Ja;2;4;0;0;0;0;M1;midden op schutbord onder motorkap;1655;;e11*2001/116*0179*06;ZZE121(G);ZZE121L-DGMNKW(1G);0;0.07;260;Nee;Ja;Nee;2955;0;2021;Logisch;00;Ja;2022-11-12T00:00:00.000;2021-12-20T00:00:00.000;2006-05-18T00:00:00.000;2006-05-18T00:00:00.000;D;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;21380;;0;;;;;;;;;;;;;
NSTZ15;Personenauto;TOYOTA;STARLET;20220316;20211221;2083;hatchback;;WIT;Niet geregistreerd;4;;805;1345;905;400;900;19960315;19960315;Geen verstrekking in Open Data;Ja;2;4;0;0;0;0;M1;midden tegen schutbord onder motorkap;1345;;e6*93/81*0020*00;EP91(G);EP91L-AGMNKW(2);1;0;230;Nee;Nee;Nee;2245;0;2021;Logisch;00;Ja;2022-03-16T00:00:00.000;2021-12-21T00:00:00.000;1996-03-15T00:00:00.000;1996-03-15T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;
52HNRG;Personenauto;TOYOTA;YARIS;20230118;20170317;2308;hatchback;5;GROEN;Niet geregistreerd;4;998;845;1350;945;400;650;20010928;20010928;Geen verstrekking in Open Data;Ja;2;4;0;0;0;0;M1;op bodemplaat onder r. voorzitting;1350;;e2*98/14*0248*00;SCP10(G);SCP10L-CGMRKW(1A);0;0.05;237;Nee;Ja;Nee;2000;0;2021;Logisch;00;Ja;2023-01-18T00:00:00.000;2017-03-17T00:00:00.000;2001-09-28T00:00:00.000;2001-09-28T00:00:00.000;B;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;
28TFS1;Personenauto;TOYOTA;TOYOTA AURIS;20230126;20140809;;MPV;5;BLAUW;Niet geregistreerd;4;1798;1355;1805;1455;;;20120126;20120126;Geen verstrekking in Open Data;Ja;4;4;0;0;425;0;M1;by bodemplaat r. voorzitting;1805;HE15U(A);e11*2007/46*0018*02;ZWE150(H);ZWE150L-DHXNBW(2M);0;0.01;260;Nee;Nee;Nee;0;0;2021;Logisch;00;Ja;2023-01-26T00:00:00.000;2014-08-09T00:00:00.000;2012-01-26T00:00:00.000;2012-01-26T00:00:00.000;A;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;22490;;;;;;;;;;;;;;;
JS527V;Personenauto;TOYOTA;TOYOTA YARIS HYBRID;20220617;20181219;625;MPV;5;WIT;Niet geregistreerd;4;1497;1060;1565;1160;;;20160617;20160617;Geen verstrekking in Open Data;Ja;4;4;0;0;395;0;M1;onder r. voorzitting;1565;XP13M(A);e11*2007/46*0152*08;NHP13(MH);NHP130L-CHXNBW(1J);0;0.05;251;Nee;Nee;Nee;1565;0;2021;Logisch;00;Ja;2022-06-17T00:00:00.000;2018-12-19T00:00:00.000;2016-06-17T00:00:00.000;2016-06-17T00:00:00.000;A;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;21535;;;;;;;;;;;;;;;
04GNZ9;Personenauto;TOYOTA;TOYOTA AVENSIS;20230331;20170426;6294;sedan;5;GRIJS;Niet geregistreerd;4;1794;1255;1820;1355;500;1300;20080807;20080807;Geen verstrekking in Open Data;Ja;4;4;0;0;0;0;M1;midden tegen schutbord onder motorkap;1820;;e11*2001/116*0196*08;ZZT251(E);ZZT251L-AEMEKW(1J);0;0.07;270;Nee;Nee;Nee;3120;0;2022;Logisch;00;Ja;2023-03-31T00:00:00.000;2017-04-26T00:00:00.000;2008-08-07T00:00:00.000;2008-08-07T00:00:00.000;C;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;28060;0;;;;;;;;;;;;;;
N781DV;Personenauto;TOYOTA;TOYOTA AYGO;20251112;20211112;1958;hatchback;4;GRIJS;Niet geregistreerd;3;998;815;1240;915;;;20211112;20211112;Geen verstrekking in Open Data;Nee;4;4;0;0;347;162;M1;;1240;AB1;e6*2007/46*0348*04;KGB40(H);KGB40L-AHMRKW(2W);0;0.06;234;Nee;Nee;Nee;0;0;2021;Logisch;00;Ja;2025-11-12T00:00:00.000;2021-11-12T00:00:00.000;2021-11-12T00:00:00.000;2021-11-12T00:00:00.000;B;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;14450;0;;160;146;;;;;;;;;;;
SH680X;Personenauto;TOYOTA;TOYOTA AYGO;20230112;20181120;1564;hatchback;4;WIT;Niet geregistreerd;3;998;830;1240;930;;;20150112;20181120;Geen verstrekking in Open Data;Ja;4;4;0;0;346;0;M1;r. bodemplaat by voorzitting;1240;AB1;e11*2001/116*0236*11;KGB40(H);KGB40L-AHMGKW(2M);0;0.05;234;Nee;Nee;Nee;0;0;2021;Geen oordeel;05;Ja;2023-01-12T00:00:00.000;2018-11-20T00:00:00.000;2015-01-12T00:00:00.000;2018-11-20T00:00:00.000;A;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;13604;;;;;;;;;;;;;;;
77STN3;Personenauto;TOYOTA;TOYOTA AYGO;20221222;20181024;;hatchback;4;WIT;Niet geregistreerd;3;998;805;1190;905;;;20111206;20111206;Geen verstrekking in Open Data;Ja;4;4;0;0;342;0;M1;r. op bodemplaat by voorzitting;1190;AB1;e11*2001/116*0236*08;KGB10(H);KGB10L-AHMGKW(3J);0;0.06;234;Nee;Ja;Nee;0;0;2021;Logisch;00;Ja;2022-12-22T00:00:00.000;2018-10-24T00:00:00.000;2011-12-06T00:00:00.000;2011-12-06T00:00:00.000;A;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;11180;;;;;;;;;;;;;;;
32HTZD;Personenauto;TOYOTA;TOYOTA COROLLA;20221228;20011228;3256;hatchback;5;ROOD;Niet geregistreerd;4;1598;1075;1615;1175;450;1200;20011228;20011228;Geen verstrekking in Open Data;Ja;4;4;0;0;429;0;M1;midden tegen schutbord onder motorkap;1615;;e11*98/14*0102*03;ZZE112(L);ZZE112L-DLMDKW(2E);1;0.07;247;Nee;Nee;Nee;2815;0;2021;Logisch;00;Ja;2022-12-28T00:00:00.000;2001-12-28T00:00:00.000;2001-12-28T00:00:00.000;2001-12-28T00:00:00.000;C;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;
2KLD95;Personenauto;TOYOTA;TOYOTA YARIS;20230121;20150818;1430;hatchback;5;ROOD;Niet geregistreerd;3;998;955;1440;1055;527;750;20071016;20140121;Geen verstrekking in Open Data;Ja;2;4;0;0;0;0;M1;r. op bodemplaat by voorzitting;1440;XP9F(A);e11*2001/116*0249*01;KSP90(G);KSP90L-CGMRKW(1B);0;0.05;246;Nee;Nee;Nee;2190;0;2021;Geen oordeel;05;Ja;2023-01-21T00:00:00.000;2015-08-18T00:00:00.000;2007-10-16T00:00:00.000;2014-01-21T00:00:00.000;B;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;0;;;;;;;;;;;;;
9SGD39;Personenauto;TOYOTA;TOYOTA AURIS;20230103;20200107;;MPV;5;GRIJS;Niet geregistreerd;4;1798;1310;1865;1410;345;345;20130928;20130928;Geen verstrekking in Open Data;Ja;4;4;0;0;456;0;M1;by bodemplaat r. voorzitting;1865;HE15U(A);e11*2007/46*0018*06;ZWE186(W);ZWE186L-DWXGBW(3R);0;0.01;260;Nee;Nee;Nee;2210;0;2021;Logisch;00;Ja;2023-01-03T00:00:00.000;2020-01-07T00:00:00.000;2013-09-28T00:00:00.000;2013-09-28T00:00:00.000;A;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;28430;;;;;;;;;;;;;;;
11NXZ6;Personenauto;TOYOTA;TOYOTA AYGO;20221227;20101227;;hatchback;4;ROOD;Niet geregistreerd;3;998;805;1190;905;;;20101227;20101227;Geen verstrekking in Open Data;Ja;4;4;0;0;342;0;M1;r. op bodemplaat by voorzitting;1190;AB1;e11*2001/116*0236*07;KGB10(H);KGB10L-AHMGKW(1H);1;0.06;234;Nee;Nee;Nee;0;0;2021;Logisch;00;Ja;2022-12-27T00:00:00.000;2010-12-27T00:00:00.000;2010-12-27T00:00:00.000;2010-12-27T00:00:00.000;A;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;11715;;;;;;;;;;;;;;;
