kenteken;voertuigsoort;merk;handelsbenaming;datum_tenaamstelling;inrichting;eerste_kleur;tweede_kleur;massa_ledig_voertuig;toegestane_maximum_massa_voertuig;datum_eerste_toelating;datum_eerste_tenaamstelling_in_nederland;wacht_op_keuren;wam_verzekerd;maximale_constructiesnelheid;laadvermogen;aantal_wielen;afstand_hart_koppeling_tot_achterzijde_voertuig;breedte;europese_voertuigcategorie;plaats_chassisnummer;technische_max_massa_voertuig;export_indicator;openstaande_terugroepactie_indicator;taxi_indicator;tellerstandoordeel;code_toelichting_tellerstandoordeel;tenaamstellen_mogelijk;datum_tenaamstelling_dt;datum_eerste_toelating_dt;datum_eerste_tenaamstelling_in_nederland_dt;maximum_last_onder_de_vooras_sen_tezamen_koppeling;api_gekentekende_voertuigen_assen;api_gekentekende_voertuigen_brandstof;api_gekentekende_voertuigen_carrosserie;api_gekentekende_voertuigen_carrosserie_specifiek;api_gekentekende_voertuigen_voertuigklasse
8740WH;Aanhangwagen;BLOM;SP 85;20030816;compressor;N.v.t.;N.v.t.;1120;1275;19790510;19790510;Geen verstrekking in Open Data;N.v.t.;100;155;2;340;152;O2;op trekboom 055 cm a. hart koppeling;1275;Nee;Nee;Nee;Niet geregistreerd;NG;Ja;2003-08-16T00:00:00.000;1979-05-10T00:00:00.000;1979-05-10T00:00:00.000;75;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json
WLHL24;Aanhangwagen;BLOM;BOOT TRAILER;20120627;voor vervoer boten;N.v.t.;N.v.t.;400;1300;20031212;20031212;Geen verstrekking in Open Data;N.v.t.;100;900;;595;235;O2;op r. framebuis 190 cm a. hart koppeling;1300;Nee;Nee;Nee;Niet geregistreerd;NG;Ja;2012-06-27T00:00:00.000;2003-12-12T00:00:00.000;2003-12-12T00:00:00.000;75;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json
