kenteken;voertuigsoort;merk;handelsbenaming;vervaldatum_apk;datum_tenaamstelling;bruto_bpm;inrichting;aantal_zitplaatsen;eerste_kleur;tweede_kleur;aantal_cilinders;cilinderinhoud;massa_ledig_voertuig;toegestane_maximum_massa_voertuig;massa_rijklaar;maximum_massa_trekken_ongeremd;maximum_trekken_massa_geremd;datum_eerste_toelating;datum_eerste_tenaamstelling_in_nederland;wacht_op_keuren;catalogusprijs;wam_verzekerd;aantal_deuren;aantal_wielen;afstand_hart_koppeling_tot_achterzijde_voertuig;afstand_voorzijde_voertuig_tot_hart_koppeling;lengte;breedte;europese_voertuigcategorie;plaats_chassisnummer;technische_max_massa_voertuig;typegoedkeuringsnummer;variant;uitvoering;volgnummer_wijziging_eu_typegoedkeuring;vermogen_massarijklaar;wielbasis;export_indicator;openstaande_terugroepactie_indicator;taxi_indicator;maximum_massa_samenstelling;aantal_rolstoelplaatsen;jaar_laatste_registratie_tellerstand;tellerstandoordeel;code_toelichting_tellerstandoordeel;tenaamstellen_mogelijk;vervaldatum_apk_dt;datum_tenaamstelling_dt;datum_eerste_toelating_dt;datum_eerste_tenaamstelling_in_nederland_dt;zuinigheidsclassificatie;api_gekentekende_voertuigen_assen;api_gekentekende_voertuigen_brandstof;api_gekentekende_voertuigen_carrosserie;api_gekentekende_voertuigen_carrosserie_specifiek;api_gekentekende_voertuigen_voertuigklasse;type;laadvermogen;aanhangwagen_middenas_geremd;maximum_ondersteunende_snelheid;aanhangwagen_autonoom_geremd;maximum_last_onder_de_vooras_sen_tezamen_koppeling;maximale_constructiesnelheid;hoogte_voertuig;registratie_datum_goedkeuring_afschrijvingsmoment_bpm;registratie_datum_goedkeuring_afschrijvingsmoment_bpm_dt;type_gasinstallatie;verticale_belasting_koppelpunt_getrokken_voertuig;oplegger_geremd;vervaldatum_tachograaf;vervaldatum_tachograaf_dt
02XLNV;Personenauto;OPEL;ZAFIRA;20230124;20130122;7211;MPV;7;ZWART;Niet geregistreerd;4;1796;1403;2095;1503;750;1200;20070712;20070712;Geen verstrekking in Open Data;29954;Ja;4;4;0;0;0;0;M1;op bodemplaat by r. voorzitting;2095;e1*2001/116*0325*04;BG11;1A07ANBABG7;0;0.07;270;Nee;Nee;Nee;3305;0;2021;Logisch;00;Ja;2023-01-24T00:00:00.000;2013-01-22T00:00:00.000;2007-07-12T00:00:00.000;2007-07-12T00:00:00.000;D;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;
78HFJ3;Personenauto;OPEL;MERIVA-A;20230219;20130222;4610;MPV;5;GRIJS;Niet geregistreerd;4;1598;1275;1855;1375;675;1200;20081031;20081031;Geen verstrekking in Open Data;20569;Ja;4;4;0;0;405;0;M1;op bodemplaat by r. voorzitting;1855;e1*2001/116*0215*11;BJ11;1A02A4CJAH5;0;0.06;263;Nee;Nee;Nee;3085;0;2022;Logisch;00;Ja;2023-02-19T00:00:00.000;2013-02-22T00:00:00.000;2008-10-31T00:00:00.000;2008-10-31T00:00:00.000;D;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;X01MONOCAB;;;;;;;;;;;;;;
V008VJ;Bedrijfsauto;OPEL;COMBO VAN;20230110;20211218;5806;gesloten opbouw;2;N.v.t.;N.v.t.;4;1248;1265;1765;1365;500;;20190110;20190110;Geen verstrekking in Open Data;23565;Ja;0;4;0;0;439;183;N1;;2040;e3*2007/46*0076*14;ZXU1A;SN2BE;0;0.05;276;Nee;Nee;Nee;2765;0;2021;Logisch;00;Ja;2023-01-10T00:00:00.000;2021-12-18T00:00:00.000;2019-01-10T00:00:00.000;2019-01-10T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;COMBO-D-VAN;500;1000;0;;;;;;;;;;;
31RHL2;Personenauto;OPEL;INSIGNIA SPORTS TOURER SW;20230310;20150312;8379;MPV;5;GRIJS;Niet geregistreerd;4;1598;1560;2203;1660;750;1700;20110531;20110531;Geen verstrekking in Open Data;31744;Ja;4;4;0;0;491;0;M1;r. schutbord;2203;e1*2007/46*0374*03;FB11;1AAJD9BRDHK5;0;0.08;274;Nee;Nee;Nee;3875;0;2022;Logisch;00;Ja;2023-03-10T00:00:00.000;2015-03-12T00:00:00.000;2011-05-31T00:00:00.000;2011-05-31T00:00:00.000;C;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0G-A;;;0;;;;;;;;;;;
50NDS7;Personenauto;OPEL;ZAFIRA;20221229;20171230;5383;MPV;7;GRIJS;Niet geregistreerd;4;1598;1405;2090;1505;750;1000;20100813;20100813;Geen verstrekking in Open Data;27179;Ja;4;4;0;0;0;0;M1;op bodemplaat by r. voorzitting;2090;e1*2001/116*0325*10;BK11;1A01A2BGAM7;0;0.06;270;Nee;Nee;Nee;3100;0;2021;Logisch;00;Ja;2022-12-29T00:00:00.000;2017-12-30T00:00:00.000;2010-08-13T00:00:00.000;2010-08-13T00:00:00.000;C;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;A-H/MONOCAB;;;;;;;;;;;;;;
02NJZ6;Personenauto;OPEL;ASTRA STATION WAGON;20230103;20210905;4473;stationwagen;5;ZWART;Niet geregistreerd;4;1598;1178;1860;1278;630;1100;20100924;20100924;Geen verstrekking in Open Data;24235;Ja;4;4;0;0;452;0;M1;by bodemplaat r. voorzitting;1860;e1*2007/46*0341*02;FY11;1A06A5EBBN5;0;0.07;270;Nee;Nee;Nee;3000;0;2021;Logisch;00;Ja;2023-01-03T00:00:00.000;2021-09-05T00:00:00.000;2010-09-24T00:00:00.000;2010-09-24T00:00:00.000;B;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;A-H/SW;;;;;;;;;;;;;;
TP710S;Personenauto;OPEL;CORSA-E;20240217;20190517;3050;hatchback;5;GRIJS;Niet geregistreerd;3;999;1099;1680;1199;560;1200;20180928;20180928;Geen verstrekking in Open Data;20746;Ja;5;4;0;0;402;0;M1;;1680;e1*2001/116*0379*41;CAABC12;BX2F5KH9A5;0;0.06;251;Nee;Nee;Nee;2880;0;2022;Logisch;00;Ja;2024-02-17T00:00:00.000;2019-05-17T00:00:00.000;2018-09-28T00:00:00.000;2018-09-28T00:00:00.000;C;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;S-D;;;0;;;;;;;;;;;
74NTLG;Personenauto;OPEL;MERIVA-A;20221222;20120622;4204;MPV;5;GRIJS;Niet geregistreerd;4;1598;1275;1855;1375;675;1200;20040220;20040220;Geen verstrekking in Open Data;;Ja;4;4;0;0;404;0;M1;op bodemplaat by r. voorzitting;1855;e1*2001/116*0215*03;BB11;1A02A4CAAF5;0;0.05;263;Nee;Nee;Nee;3080;0;2021;Logisch;00;Ja;2022-12-22T00:00:00.000;2012-06-22T00:00:00.000;2004-02-20T00:00:00.000;2004-02-20T00:00:00.000;D;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;
2TFG91;Personenauto;OPEL;AGILA;20230217;20151008;1375;stationwagen;5;ZWART;Niet geregistreerd;3;996;950;1485;1050;;;20140130;20140130;Geen verstrekking in Open Data;11379;Ja;4;4;0;0;374;0;M1;op r. schroefveerkoker onder motorkap;1485;e4*2001/116*0135*14;AE11;3AAAA1AAAA5;0;0.05;236;Nee;Nee;Nee;0;0;2022;Logisch;00;Ja;2023-02-17T00:00:00.000;2015-10-08T00:00:00.000;2014-01-30T00:00:00.000;2014-01-30T00:00:00.000;B;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;H-B;;;;;;;;;;;;;;
73SFFK;Personenauto;OPEL;ZAFIRA;20230217;20160209;6665;MPV;7;GRIJS;Niet geregistreerd;4;1796;1403;2095;1503;750;1200;20051123;20051123;Geen verstrekking in Open Data;28313;Ja;4;4;0;0;0;0;M1;op bodemplaat by r. voorzitting;2095;e1*2001/116*0325*01;BG11;1A07ANBABG7;0;0.07;270;Nee;Nee;Nee;3305;0;2022;Logisch;00;Ja;2023-02-17T00:00:00.000;2016-02-09T00:00:00.000;2005-11-23T00:00:00.000;2005-11-23T00:00:00.000;C;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;
4TJH31;Personenauto;OPEL;CORSA;20230221;20140221;3255;MPV;5;ZWART;Niet geregistreerd;4;1229;1063;1625;1163;500;750;20140221;20140221;Geen verstrekking in Open Data;14939;Ja;4;4;0;0;0;0;M1;op bodemplaat by r. voorzitting;1625;e1*2001/116*0379*25;KN11;4A06D5B2DKA5;0;0.05;251;Nee;Nee;Nee;2395;0;2022;Logisch;00;Ja;2023-02-21T00:00:00.000;2014-02-21T00:00:00.000;2014-02-21T00:00:00.000;2014-02-21T00:00:00.000;B;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;S-D;;;0;;;;;;;;;;;
67JFFL;Personenauto;OPEL;CORSA-C;20221213;20211123;1861;hatchback;5;GRIJS;Niet geregistreerd;3;973;880;1405;980;450;750;20020301;20020301;Geen verstrekking in Open Data;;Ja;2;4;0;0;382;0;M1;op bodemplaat by r. voorzitting;1405;e1*98/14*0148*04;AA11;1A01A1ABCA5;0;0.04;249;Nee;Nee;Nee;2020;0;2021;Logisch;00;Ja;2022-12-13T00:00:00.000;2021-11-23T00:00:00.000;2002-03-01T00:00:00.000;2002-03-01T00:00:00.000;B;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;
26HTPK;Personenauto;OPEL;CORSA-C;20221231;20220216;2404;hatchback;5;GROEN;Niet geregistreerd;4;1199;910;1430;1010;450;1000;20011130;20011130;Geen verstrekking in Open Data;;Nee;2;4;0;0;382;0;M1;op bodemplaat by r. voorzitting;1430;e1*98/14*0148*02;AB11;1A02A2BBCA5;1;0.05;249;Nee;Nee;Nee;2360;0;2022;Logisch;00;Ja;2022-12-31T00:00:00.000;2022-02-16T00:00:00.000;2001-11-30T00:00:00.000;2001-11-30T00:00:00.000;C;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;
52RGP3;Personenauto;OPEL;INSIGNIA SPORTS TOURER SW;20230218;20150220;8493;MPV;5;ZWART;Niet geregistreerd;4;1598;1560;2203;1660;750;1700;20110520;20110520;Geen verstrekking in Open Data;32569;Ja;4;4;0;0;491;0;M1;r. schutbord;2203;e1*2007/46*0374*03;FB11;1AAKD9BRDHK5;0;0.08;274;Nee;Nee;Nee;3875;0;2021;Logisch;00;Ja;2023-02-18T00:00:00.000;2015-02-20T00:00:00.000;2011-05-20T00:00:00.000;2011-05-20T00:00:00.000;C;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0G-A;;;0;;;;;;;;;;;
45DZRS;Personenauto;OPEL;ASTRA-G-CC;20220805;20211222;5405;hatchback;5;GROEN;Niet geregistreerd;4;1598;1114;1695;1214;570;1150;20000120;20000120;Geen verstrekking in Open Data;;Ja;4;4;0;0;411;0;M1;op bodemplaat by r. voorzitting;1695;e1*98/14*0086*05;DD11;2A09A140AFE5;1;0.06;261;Nee;Nee;Nee;2845;0;2021;Logisch;00;Ja;2022-08-05T00:00:00.000;2021-12-22T00:00:00.000;2000-01-20T00:00:00.000;2000-01-20T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;
40NPN9;Personenauto;OPEL;CORSA;20230104;20210104;;MPV;5;ZWART;Niet geregistreerd;4;1248;1063;1610;1163;500;500;20101022;20101022;Geen verstrekking in Open Data;17139;Ja;2;4;0;0;0;0;M1;op bodemplaat by r. voorzitting;1610;e1*2001/116*0379*15;FY11;4A12B7A7LJM5;0;0.06;251;Nee;Nee;Nee;2160;0;2021;Geen oordeel;07;Ja;2023-01-04T00:00:00.000;2021-01-04T00:00:00.000;2010-10-22T00:00:00.000;2010-10-22T00:00:00.000;A;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;S-D;;;;;;;;;;;;;;
83PBJP;Personenauto;OPEL;ZAFIRA-A;20230426;20220331;5601;stationwagen;7;GRIJS;Niet geregistreerd;4;1598;1293;1970;1393;600;1100;20040427;20040427;Geen verstrekking in Open Data;;Ja;4;4;0;0;432;0;M1;op bodemplaat by r. voorzitting;1970;e1*98/14*0110*14;HD11;2A06AK22BCB7;0;0.05;269;Nee;Nee;Nee;3115;0;2022;Logisch;00;Ja;2023-04-26T00:00:00.000;2022-03-31T00:00:00.000;2004-04-27T00:00:00.000;2004-04-27T00:00:00.000;D;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;
32SGPD;Personenauto;OPEL;ASTRA;20230217;20171109;4830;hatchback;5;GRIJS;Niet geregistreerd;4;1364;1130;1725;1230;615;1000;20051228;20051228;Geen verstrekking in Open Data;21465;Ja;4;4;0;0;425;0;M1;op bodemplaat by r. voorzitting;1725;e1*2001/116*0261*05;BA11;1A01A2BAEG5;0;0.05;261;Nee;Nee;Nee;2770;0;2022;Logisch;00;Ja;2023-02-17T00:00:00.000;2017-11-09T00:00:00.000;2005-12-28T00:00:00.000;2005-12-28T00:00:00.000;B;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;
VZ812H;Bedrijfsauto;OPEL;VIVARO-B;20220619;20211217;9323;gesloten opbouw;3;N.v.t.;N.v.t.;4;1598;1711;3010;1811;750;;20160831;20160831;Geen verstrekking in Open Data;38429;Ja;0;4;0;0;540;196;N1;tussen r. voorzitting en deurdorpel;3010;e1*2007/46*0575*15;2318;SFASB3;0;0.05;350;Nee;Nee;Nee;5010;0;2021;Logisch;00;Ja;2022-06-19T00:00:00.000;2021-12-17T00:00:00.000;2016-08-31T00:00:00.000;2016-08-31T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;F7;1299;2000;0;;;;;;;;;;;
JT931Z;Personenauto;OPEL;ASTRA SPORTS TOURER+;20220622;20220204;3707;stationwagen;5;GRIJS;Niet geregistreerd;4;1598;1293;1930;1393;670;1300;20160622;20160622;Geen verstrekking in Open Data;31065;Ja;5;4;0;0;470;0;M1;in bodemplaat r. v.;1930;e4*2007/46*0996*04;DA0FDBB12;BK2H1FBBK5;0;0.06;266;Ja;Nee;Nee;3230;0;2022;Logisch;00;Nee;2022-06-22T00:00:00.000;2022-02-04T00:00:00.000;2016-06-22T00:00:00.000;2016-06-22T00:00:00.000;B;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;B-K;;;0;;;;;;;;;;;
39SHF8;Personenauto;OPEL;ZAFIRA;20230107;20210106;6192;MPV;7;BLAUW;Niet geregistreerd;4;1796;1403;2095;1503;750;1200;20110929;20110929;Geen verstrekking in Open Data;28034;Ja;4;4;0;0;0;0;M1;r. voorzitting;2095;e1*2007/46*0497*01;BR11;1AABANBABG7;0;0.07;270;Nee;Nee;Nee;3305;0;2021;Logisch;00;Ja;2023-01-07T00:00:00.000;2021-01-06T00:00:00.000;2011-09-29T00:00:00.000;2011-09-29T00:00:00.000;C;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;A-H/MONOCAB;;;0;;;;;;;;;;;
73ZNXJ;Personenauto;OPEL;MERIVA-A;20230120;20190725;5563;MPV;5;GRIJS;Niet geregistreerd;4;1598;1275;1855;1375;675;1200;20080408;20080408;Geen verstrekking in Open Data;24204;Ja;4;4;0;0;405;0;M1;op bodemplaat by r. voorzitting;1855;e1*2001/116*0215*10;BJ11;1A02A4CJAH5;0;0.06;263;Nee;Nee;Nee;3085;0;2021;Logisch;00;Ja;2023-01-20T00:00:00.000;2019-07-25T00:00:00.000;2008-04-08T00:00:00.000;2008-04-08T00:00:00.000;D;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;
04PHRF;Personenauto;OPEL;MERIVA-A;20220625;20211222;4453;MPV;5;ZWART;Niet geregistreerd;4;1598;1275;1855;1375;675;1200;20040630;20040630;Geen verstrekking in Open Data;;Nee;4;4;0;0;404;0;M1;op bodemplaat by r. voorzitting;1855;e1*2001/116*0215*03;BB11;1A02A4CBAF5;0;0.05;263;Nee;Nee;Nee;3080;0;2021;Logisch;00;Ja;2022-06-25T00:00:00.000;2021-12-22T00:00:00.000;2004-06-30T00:00:00.000;2004-06-30T00:00:00.000;D;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;
V585DL;Bedrijfsauto;OPEL;VIVARO-B;20230111;20170116;9326;neerklapbare zijschotten;3;N.v.t.;N.v.t.;4;1598;2060;3030;2160;750;;20170111;20170111;Geen verstrekking in Open Data;38384;Ja;;4;;;;202;N1;by bodemplaat r. voorzitting;3030;;;;;0.04;350;Nee;Nee;Nee;5030;;2021;Logisch;00;Ja;2023-01-11T00:00:00.000;2017-01-16T00:00:00.000;2017-01-11T00:00:00.000;2017-01-11T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;F7;970;2000;;2000;0;;;;;;;;;
45KNL4;Personenauto;OPEL;ASTRA STATION WAGON;20230109;20131116;4482;stationwagen;5;GRIJS;Niet geregistreerd;4;1598;1178;1860;1278;630;1100;20100106;20100106;Geen verstrekking in Open Data;;Ja;4;4;0;0;452;0;M1;op bodemplaat by r. voorzitting;1860;e1*2001/116*0293*13;FS11;1A11A5EABN5;0;0.07;270;Nee;Nee;Nee;3000;0;2021;Logisch;00;Ja;2023-01-09T00:00:00.000;2013-11-16T00:00:00.000;2010-01-06T00:00:00.000;2010-01-06T00:00:00.000;C;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;A-H/SW;;;;;;;;;;;;;;
73SVZ4;Personenauto;OPEL;CORSA;20221222;20111219;;MPV;5;WIT;Niet geregistreerd;4;1248;1099;1635;1199;500;500;20111219;20111219;Geen verstrekking in Open Data;18170;Ja;4;4;0;0;0;0;M1;op bodemplaat by r. voorzitting;1635;e1*2001/116*0379*19;PY11;4A12D6A7LJM5;0;0.06;251;Nee;Nee;Nee;2185;0;2021;Logisch;00;Ja;2022-12-22T00:00:00.000;2011-12-19T00:00:00.000;2011-12-19T00:00:00.000;2011-12-19T00:00:00.000;A;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;S-D;;;0;;;;;;;;;;;
09SZJ9;Personenauto;OPEL;ASTRA SPORTS TOURER;20221227;20170614;3808;stationwagen;5;WIT;Niet geregistreerd;4;1398;1293;1975;1393;680;750;20111227;20111227;Geen verstrekking in Open Data;21796;Ja;5;4;0;0;470;0;M1;r. voorzitting;1975;e4*2007/46*0204*05;DADFA11;BA1H1EHXA5;0;0.05;269;Nee;Nee;Nee;2775;0;2021;Logisch;00;Ja;2022-12-27T00:00:00.000;2017-06-14T00:00:00.000;2011-12-27T00:00:00.000;2011-12-27T00:00:00.000;A;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;P-J/SW;;;0;;;;;;;;;;;
06SPNS;Personenauto;OPEL;MERIVA-A;20221207;20211216;5327;MPV;5;GRIJS;Niet geregistreerd;4;1598;1275;1855;1375;675;1200;20060330;20060330;Geen verstrekking in Open Data;;Ja;4;4;0;0;405;0;M1;op bodemplaat by r. voorzitting;1855;e1*2001/116*0215*07;BJ11;1A02A4CBAH5;0;0.06;263;Nee;Nee;Nee;3080;0;2021;Logisch;00;Ja;2022-12-07T00:00:00.000;2021-12-16T00:00:00.000;2006-03-30T00:00:00.000;2006-03-30T00:00:00.000;C;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;
V023FB;Bedrijfsauto;OPEL;VIVARO-B;20221222;20201218;9875;gesloten opbouw;6;N.v.t.;N.v.t.;4;1598;1875;2940;1975;750;;20170223;20170223;Geen verstrekking in Open Data;40754;Ja;0;4;0;0;540;196;N1;tussen r. voorzitting en deurdorpel;2940;e1*2007/46*0575*18;F01E;5ADDB6;0;0.04;350;Nee;Nee;Nee;4940;0;2021;Logisch;00;Ja;2022-12-22T00:00:00.000;2020-12-18T00:00:00.000;2017-02-23T00:00:00.000;2017-02-23T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;F7;1065;2000;0;;;;;;;;;;;
P695JV;Personenauto;OPEL;INSIGNIA SPORTS TOURER;20230104;20220331;3092;stationwagen;5;GRIJS;Niet geregistreerd;4;1490;1422;2110;1522;730;1405;20190104;20220331;Geen verstrekking in Open Data;42956;Ja;5;4;0;0;499;186;M1;;2110;e8*2007/46*0264*08;DA074CB12;BA1ZAKADL15;0;0.08;283;Nee;Nee;Nee;3480;0;2022;Geen oordeel;05;Ja;2023-01-04T00:00:00.000;2022-03-31T00:00:00.000;2019-01-04T00:00:00.000;2022-03-31T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;Z-B;;;0;;;214;150;20220328;2022-03-28T00:00:00.000;;;;;
91GKGG;Personenauto;OPEL;ASTRA-G-CC;20221222;20170726;3462;hatchback;5;BLAUW;Niet geregistreerd;4;1598;1063;1640;1163;570;1100;20001215;20001215;Geen verstrekking in Open Data;;Ja;2;4;0;0;411;0;M1;op bodemplaat by r. voorzitting;1640;e1*98/14*0086*09;BR11;2A05BP36FDD5;1;0.05;261;Nee;Nee;Nee;2740;0;2021;Logisch;00;Ja;2022-12-22T00:00:00.000;2017-07-26T00:00:00.000;2000-12-15T00:00:00.000;2000-12-15T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;0;;;;;;;;;;;
