kenteken;voertuigsoort;merk;handelsbenaming;vervaldatum_apk;datum_tenaamstelling;bruto_bpm;inrichting;aantal_zitplaatsen;eerste_kleur;tweede_kleur;aantal_cilinders;cilinderinhoud;massa_ledig_voertuig;toegestane_maximum_massa_voertuig;massa_rijklaar;maximum_massa_trekken_ongeremd;maximum_trekken_massa_geremd;datum_eerste_toelating;datum_eerste_tenaamstelling_in_nederland;wacht_op_keuren;catalogusprijs;wam_verzekerd;aantal_deuren;aantal_wielen;afstand_hart_koppeling_tot_achterzijde_voertuig;afstand_voorzijde_voertuig_tot_hart_koppeling;lengte;breedte;europese_voertuigcategorie;plaats_chassisnummer;technische_max_massa_voertuig;typegoedkeuringsnummer;variant;uitvoering;volgnummer_wijziging_eu_typegoedkeuring;vermogen_massarijklaar;wielbasis;export_indicator;openstaande_terugroepactie_indicator;taxi_indicator;maximum_massa_samenstelling;aantal_rolstoelplaatsen;jaar_laatste_registratie_tellerstand;tellerstandoordeel;code_toelichting_tellerstandoordeel;tenaamstellen_mogelijk;vervaldatum_apk_dt;datum_tenaamstelling_dt;datum_eerste_toelating_dt;datum_eerste_tenaamstelling_in_nederland_dt;zuinigheidsclassificatie;api_gekentekende_voertuigen_assen;api_gekentekende_voertuigen_brandstof;api_gekentekende_voertuigen_carrosserie;api_gekentekende_voertuigen_carrosserie_specifiek;api_gekentekende_voertuigen_voertuigklasse;type;laadvermogen;aanhangwagen_middenas_geremd;maximum_ondersteunende_snelheid;aanhangwagen_autonoom_geremd;maximum_last_onder_de_vooras_sen_tezamen_koppeling;maximale_constructiesnelheid;hoogte_voertuig;registratie_datum_goedkeuring_afschrijvingsmoment_bpm;registratie_datum_goedkeuring_afschrijvingsmoment_bpm_dt;type_gasinstallatie;verticale_belasting_koppelpunt_getrokken_voertuig;oplegger_geremd;vervaldatum_tachograaf;vervaldatum_tachograaf_dt
05HJ80;Personenauto;OPEL;MANTA 16S;20231219;20211218;;Niet geregistreerd;;BLAUW;Niet geregistreerd;4;;944;;1044;;;19751017;19751017;Geen verstrekking in Open Data;;Ja;2;4;;;;;M1;op bodemplaat by r. voorzitting;;;;;;0;252;Nee;Nee;Nee;;;2021;Geen oordeel;01;Ja;2023-12-19T00:00:00.000;2021-12-18T00:00:00.000;1975-10-17T00:00:00.000;1975-10-17T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;
39RGVN;Personenauto;OPEL;CORSA-C;20221228;20171216;2883;hatchback;5;GRIJS;Niet geregistreerd;4;1229;935;1455;1035;450;950;20050324;20050324;Geen verstrekking in Open Data;14577;Ja;4;4;0;0;384;0;M1;op bodemplaat by r. voorzitting;1455;e1*98/14*0148*11;DL11;1A07A3CBCA5;0;0.06;249;Nee;Nee;Nee;2360;0;2021;Logisch;00;Ja;2022-12-28T00:00:00.000;2017-12-16T00:00:00.000;2005-03-24T00:00:00.000;2005-03-24T00:00:00.000;B;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;
34ZPZ3;Personenauto;OPEL;MOKKA;20230117;20130225;6571;stationwagen;5;WIT;Niet geregistreerd;4;1364;1325;1854;1425;500;1200;20130117;20130117;Geen verstrekking in Open Data;31415;Ja;4;4;0;0;428;0;M1;r. schutbord;1854;e4*2007/46*0537*00;JNXXAXX;A44PAX4X44B;0;0.07;256;Nee;Nee;Nee;3054;0;2021;Logisch;00;Ja;2023-01-17T00:00:00.000;2013-02-25T00:00:00.000;2013-01-17T00:00:00.000;2013-01-17T00:00:00.000;C;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;J-A;;;0;;;;;;;;;;;
NP145T;Personenauto;OPEL;KARL / VIVA;20230324;20190809;1693;hatchback;5;BLAUW;Niet geregistreerd;3;999;839;1353;939;;;20170324;20170324;Geen verstrekking in Open Data;12399;Ja;5;4;0;0;368;0;M1;in motorruimte a.;1353;e4*2007/46*0957*05;DHXXFXX;B11PA5AYCC2A;0;0.06;239;Nee;Nee;Nee;0;0;2022;Logisch;00;Ja;2023-03-24T00:00:00.000;2019-08-09T00:00:00.000;2017-03-24T00:00:00.000;2017-03-24T00:00:00.000;B;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;D-A;;;0;;;;;;;;;;;
JF232Z;Personenauto;OPEL;CORSA-E;20240307;20180514;3008;MPV;5;GRIJS;Niet geregistreerd;4;1398;1041;1620;1141;550;800;20160307;20160307;Geen verstrekking in Open Data;20480;Ja;3;4;0;0;0;0;M1;in bodemplaat r. v.;1620;e1*2001/116*0379*35;BADRC12;BX2D6EFXA5;0;0.06;251;Nee;Nee;Nee;2475;0;2022;Logisch;00;Ja;2024-03-07T00:00:00.000;2018-05-14T00:00:00.000;2016-03-07T00:00:00.000;2016-03-07T00:00:00.000;C;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;S-D;;;0;;;;;;;;;;;
43PLZ5;Personenauto;OPEL;ASTRA;20230224;20110224;4217;MPV;5;ZWART;Niet geregistreerd;4;1364;1293;1935;1393;680;1300;20110224;20110224;Geen verstrekking in Open Data;25153;Ja;4;4;0;0;0;0;M1;by bodemplaat r. voorzitting;1935;e1*2007/46*0141*07;BU11;1AABAFALFMA5;0;0.06;269;Nee;Nee;Nee;3295;0;2022;Logisch;00;Ja;2023-02-24T00:00:00.000;2011-02-24T00:00:00.000;2011-02-24T00:00:00.000;2011-02-24T00:00:00.000;A;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;P-J;;;0;;;;;;;;;;;
05HTN5;Personenauto;OPEL;CORSA;20230316;20090316;3905;MPV;5;GRIJS;Niet geregistreerd;4;1364;1088;1640;1188;500;1000;20090316;20090316;Geen verstrekking in Open Data;19414;Ja;4;4;0;0;0;0;M1;op bodemplaat by r. voorzitting;1640;e1*2001/116*0379*08;PC11;1A11B9YFEC5;0;0.06;251;Nee;Nee;Nee;2640;0;2022;Logisch;00;Ja;2023-03-16T00:00:00.000;2009-03-16T00:00:00.000;2009-03-16T00:00:00.000;2009-03-16T00:00:00.000;C;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;S-D;;;0;;;;;;;;;;;
RL016B;Personenauto;OPEL;MOKKA X;20230105;20180105;6355;MPV;5;WIT;Niet geregistreerd;4;1598;1349;1883;1449;500;1500;20180105;20180105;Geen verstrekking in Open Data;32270;Ja;4;4;0;0;428;0;M1;in motorruimte a.;1883;e4*2007/46*0537*19;JMYXFXX;C69DGXKYXXB;0;0.07;256;Nee;Nee;Nee;3383;0;2021;Logisch;00;Ja;2023-01-05T00:00:00.000;2018-01-05T00:00:00.000;2018-01-05T00:00:00.000;2018-01-05T00:00:00.000;E;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;J-A;;;0;;;;;;;;;;;
81VBG4;Bedrijfsauto;OPEL;COMBO-C-VAN Z17DTH AC;20220625;20211222;6420;gesloten opbouw;2;N.v.t.;N.v.t.;4;1686;1250;1750;1350;450;;20061019;20061019;Geen verstrekking in Open Data;;Ja;0;4;0;0;0;168;N1;op bodemplaat by r. voorzitting;1750;;;;0;0.05;272;Nee;Nee;Nee;2750;;2021;Logisch;00;Ja;2022-06-25T00:00:00.000;2021-12-22T00:00:00.000;2006-10-19T00:00:00.000;2006-10-19T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;500;1000;;1000;;;;;;;;;;
VD667B;Bedrijfsauto;OPEL;VIVARO;20221223;20190619;8663;gesloten opbouw;6;N.v.t.;N.v.t.;4;1995;1901;3030;2001;750;;20130416;20130416;Geen verstrekking in Open Data;35652;Ja;0;4;0;0;0;190;N1;r. balk a. vooras;3030;e1*2007/46*0575*09;B1BE;E1ARD3;0;0.04;350;Nee;Nee;Nee;5030;0;2021;Logisch;00;Ja;2022-12-23T00:00:00.000;2019-06-19T00:00:00.000;2013-04-16T00:00:00.000;2013-04-16T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;F7;1129;2000;0;2000;0;;;;;;;;;
NT8805;Personenauto;OPEL;OLYMPIA;;20211222;;Niet geregistreerd;;ZWART;Niet geregistreerd;4;;920;;1020;;;19530307;19530307;Geen verstrekking in Open Data;;Nee;2;4;;;;;M1;r. a. voorzitting op bodemplaat;;;;;;0;220;Nee;Nee;Nee;;;;Niet geregistreerd;NG;Ja;;2021-12-22T00:00:00.000;1953-03-07T00:00:00.000;1953-03-07T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;0;;;;;;;;;
11SBNB;Personenauto;OPEL;ZAFIRA;20220910;20211222;8343;MPV;7;GRIJS;Niet geregistreerd;4;1910;1513;2195;1613;750;1300;20051109;20051109;Geen verstrekking in Open Data;31069;Ja;4;4;0;0;0;0;M1;op bodemplaat by r. voorzitting;2195;e1*2001/116*0325*01;BE11;2A05ACPDEA7;0;0.05;270;Nee;Nee;Nee;3570;0;2021;Logisch;00;Ja;2022-09-10T00:00:00.000;2021-12-22T00:00:00.000;2005-11-09T00:00:00.000;2005-11-09T00:00:00.000;D;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;
48LXZZ;Personenauto;OPEL;MERIVA-A;20220701;20220217;3989;MPV;5;GRIJS;Niet geregistreerd;4;1598;1250;1830;1350;675;1200;20030624;20030624;Geen verstrekking in Open Data;;Ja;4;4;0;0;404;0;M1;op bodemplaat by r. voorzitting;1830;e1*2001/116*0215*01;BA11;1A01A2BAAD5;0;0.05;263;Nee;Nee;Nee;2830;0;2021;Logisch;00;Ja;2022-07-01T00:00:00.000;2022-02-17T00:00:00.000;2003-06-24T00:00:00.000;2003-06-24T00:00:00.000;E;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;
49FZDZ;Personenauto;OPEL;AGILA;20221018;20211030;2136;MPV;4;ROOD;Niet geregistreerd;4;1199;930;1370;1030;350;650;20000825;20000825;Geen verstrekking in Open Data;;Ja;4;4;0;0;350;0;M1;r. tegen schutbord onder motorkap;1370;e1*98/14*0141*01;AB11;1A04A2BAAA4;1;0.05;236;Nee;Nee;Nee;1990;0;2021;Logisch;00;Ja;2022-10-18T00:00:00.000;2021-10-30T00:00:00.000;2000-08-25T00:00:00.000;2000-08-25T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;0;;;;;;;;;;;
5ZHT07;Personenauto;OPEL;CORSA;20221222;20201123;2496;hatchback;5;ZWART;Niet geregistreerd;4;1229;1028;1575;1128;450;850;20080826;20141223;Geen verstrekking in Open Data;;Ja;2;4;0;0;0;0;M1;op bodemplaat by r. voorzitting;1575;e1*2001/116*0379*07;BB11;1A14A4DADA5;0;0.05;251;Nee;Nee;Nee;2455;0;2021;Geen oordeel;05;Ja;2022-12-22T00:00:00.000;2020-11-23T00:00:00.000;2008-08-26T00:00:00.000;2014-12-23T00:00:00.000;C;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;S-D;;;0;;0;;;;;;;;;
16FDDT;Personenauto;OPEL;CORSA-B;20230307;20030311;2328;hatchback;5;GRIJS;Niet geregistreerd;4;1199;880;1400;980;450;1000;20000210;20000210;Geen verstrekking in Open Data;;Ja;4;4;0;0;374;0;M1;op bodemplaat by r. voorzitting;1400;e1*98/14*0053*09;DR11;0A05A7BFAB5;1;0.05;244;Nee;Nee;Nee;2400;0;2022;Logisch;00;Ja;2023-03-07T00:00:00.000;2003-03-11T00:00:00.000;2000-02-10T00:00:00.000;2000-02-10T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;
59XBP8;Personenauto;OPEL;CORSA;20221228;20160319;;MPV;5;WIT;Niet geregistreerd;4;1229;1063;1605;1163;450;850;20120510;20120510;Geen verstrekking in Open Data;15445;Ja;2;4;0;0;0;0;M1;op bodemplaat by r. voorzitting;1605;e1*2001/116*0379*20;BZ11;1AACA7K0BDA5;0;0.05;251;Nee;Nee;Nee;2455;0;2021;Logisch;00;Ja;2022-12-28T00:00:00.000;2016-03-19T00:00:00.000;2012-05-10T00:00:00.000;2012-05-10T00:00:00.000;A;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;S-D;;;0;;;;;;;Af-fabriek gasinstallatie;;;;
20XLSG;Personenauto;OPEL;ASTRA;20221222;20150123;4070;hatchback;5;BLAUW;Niet geregistreerd;4;1364;1189;1735;1289;615;1000;20070718;20070718;Geen verstrekking in Open Data;20214;Ja;4;4;0;0;0;0;M1;op bodemplaat by r. voorzitting;1735;e1*2001/116*0261*11;BA11;1A12AJVAEG5;0;0.05;261;Nee;Nee;Nee;2790;0;2021;Logisch;00;Ja;2022-12-22T00:00:00.000;2015-01-23T00:00:00.000;2007-07-18T00:00:00.000;2007-07-18T00:00:00.000;B;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;0;;;;;G3 gasinstallatie;;;;
