kenteken;voertuigsoort;merk;handelsbenaming;datum_tenaamstelling;inrichting;eerste_kleur;tweede_kleur;massa_ledig_voertuig;toegestane_maximum_massa_voertuig;datum_eerste_toelating;datum_eerste_tenaamstelling_in_nederland;wacht_op_keuren;wam_verzekerd;maximale_constructiesnelheid;laadvermogen;aantal_deuren;aantal_wielen;afstand_hart_koppeling_tot_achterzijde_voertuig;afstand_voorzijde_voertuig_tot_hart_koppeling;lengte;breedte;europese_voertuigcategorie;plaats_chassisnummer;technische_max_massa_voertuig;volgnummer_wijziging_eu_typegoedkeuring;wielbasis;export_indicator;openstaande_terugroepactie_indicator;taxi_indicator;maximum_massa_samenstelling;tellerstandoordeel;code_toelichting_tellerstandoordeel;tenaamstellen_mogelijk;datum_tenaamstelling_dt;datum_eerste_toelating_dt;datum_eerste_tenaamstelling_in_nederland_dt;maximum_last_onder_de_vooras_sen_tezamen_koppeling;api_gekentekende_voertuigen_assen;api_gekentekende_voertuigen_brandstof;api_gekentekende_voertuigen_carrosserie;api_gekentekende_voertuigen_carrosserie_specifiek;api_gekentekende_voertuigen_voertuigklasse;vervaldatum_apk;bruto_bpm;aantal_zitplaatsen;aantal_cilinders;cilinderinhoud;massa_rijklaar;maximum_massa_trekken_ongeremd;maximum_trekken_massa_geremd;catalogusprijs;type;typegoedkeuringsnummer;variant;uitvoering;vermogen_massarijklaar;aantal_rolstoelplaatsen;maximum_ondersteunende_snelheid;jaar_laatste_registratie_tellerstand;vervaldatum_apk_dt;hoogte_voertuig;zuinigheidsclassificatie;registratie_datum_goedkeuring_afschrijvingsmoment_bpm;registratie_datum_goedkeuring_afschrijvingsmoment_bpm_dt;aantal_staanplaatsen;vervaldatum_tachograaf;vervaldatum_tachograaf_dt;aanhangwagen_middenas_geremd;europese_voertuigcategorie_toevoeging;europese_uitvoeringcategorie_toevoeging;aanhangwagen_autonoom_geremd;verticale_belasting_koppelpunt_getrokken_voertuig;type_gasinstallatie;oplegger_geremd;subcategorie_nederland;hoogte_voertuig_minimum;hoogte_voertuig_maximum;afwijkende_maximum_snelheid
K367SX;Personenauto;RENAULT;KADJAR;20210522;stationwagen;ZWART;Niet geregistreerd;1295;1866;20160510;20210522;Geen verstrekking in Open Data;Ja;192;;4;4;0;0;445;184;M1;;1866;0;265;Nee;Nee;Nee;3366;Geen oordeel;05;Ja;2021-05-22T00:00:00.000;2016-05-10T00:00:00.000;2021-05-22T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20230521;1486;5;4;1197;1395;695;1500;30704;RFE;e2*2007/46*0475*02;RFEHF2;RFEHF2MR6AAB005000;0.07;0;0;2021;2023-05-21T00:00:00.000;;C;;;;;;;;;;;;;;;;
LNL70R;Land- of bosb aanhw of getr uitr stuk;ZELFBOUW;ONBEKEND;20220216;Niet geregistreerd;N.v.t.;N.v.t.;;;19800630;20220216;Geen verstrekking in Open Data;Nee;25;;;;;;;;R;;;;;Nee;Nee;Nee;;Niet geregistreerd;NG;Ja;2022-02-16T00:00:00.000;1980-06-30T00:00:00.000;2022-02-16T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WV8039;Aanhangwagen;EQUIPE;2001;20100805;voor vervoer voertuigen;N.v.t.;N.v.t.;680;2000;19750917;19750917;Geen verstrekking in Open Data;N.v.t.;100;1320;;;583;;;220;O2;r. tegen voorste dwarsbalk;2000;;;Nee;Nee;Nee;;Niet geregistreerd;NG;Ja;2010-08-05T00:00:00.000;1975-09-17T00:00:00.000;1975-09-17T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
J461TL;Personenauto;NISSAN;NISSAN MICRA;20210618;MPV;ZWART;Niet geregistreerd;953;1530;20171018;20201107;Geen verstrekking in Open Data;Ja;175;;4;4;0;0;400;174;M1;;1530;0;253;Nee;Nee;Nee;2430;Geen oordeel;05;Ja;2021-06-18T00:00:00.000;2017-10-18T00:00:00.000;2020-11-07T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20221218;1940;5;3;898;1053;525;1200;19039;K14;e9*2007/46*6454*01;B;B01;0.06;0;0;2021;2022-12-18T00:00:00.000;146;B;;;;;;;;;;;;;;;;
H710XD;Personenauto;DACIA;LOGAN;20200731;stationwagen;BLAUW;Niet geregistreerd;1141;1643;20200610;20200610;Geen verstrekking in Open Data;Ja;185;;4;4;0;0;453;176;M1;;1643;0;263;Nee;Nee;Nee;2453;Logisch;00;Ja;2020-07-31T00:00:00.000;2020-06-10T00:00:00.000;2020-06-10T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20230610;3536;5;3;999;1241;620;1110;16985;SD;e2*2001/116*0314*93;07EV;ML5DA080M500;0.06;0;0;2021;2023-06-10T00:00:00.000;155;A;;;;;;;;;;;Af-fabriek gasinstallatie;;;;;
93WJGD;Aanhangwagen;BUERSTNER;AVERSO;20160123;caravan;N.v.t.;N.v.t.;1150;1360;20120426;20120426;Geen verstrekking in Open Data;N.v.t.;100;210;0;2;650;0;653;230;O2;r. balk by achteras;1360;0;410;Nee;Nee;Nee;0;Niet geregistreerd;NG;Ja;2016-01-23T00:00:00.000;2012-04-26T00:00:00.000;2012-04-26T00:00:00.000;100;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;EG/B?;e1*2007/46*0147*04;AC0000;00017A00BU4402;;0;;;;;;;;;;;;;;;;;;;;;
4928WR;Aanhangwagen;LEY;PTK 2000;20051028;veewagen;N.v.t.;N.v.t.;905;2000;19810220;19810220;Geen verstrekking in Open Data;N.v.t.;100;1095;;;460;;;215;O2;r. tegen balk 135 cm a. hart koppeling;2000;;;Nee;Nee;Nee;;Niet geregistreerd;NG;Ja;2005-10-28T00:00:00.000;1981-02-20T00:00:00.000;1981-02-20T00:00:00.000;75;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
H858BJ;Personenauto;VOLVO;XC40;20200104;stationwagen;WIT;Niet geregistreerd;1525;2120;20200104;20200104;Geen verstrekking in Open Data;Ja;200;;5;4;0;0;443;187;M1;;2120;0;270;Nee;Nee;Nee;3720;Logisch;00;Ja;2020-01-04T00:00:00.000;2020-01-04T00:00:00.000;2020-01-04T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20240104;9426;5;3;1477;1625;750;1600;47749;X;e9*2007/46*3146*07;XZ15;XZ15VD0?;0.07;0;0;2020;2024-01-04T00:00:00.000;163;D;;;;;;;;;;;;;;;;
WX34TV;Aanhangwagen;HAPERT;AL2000;20210914;gesloten opbouw;N.v.t.;N.v.t.;925;2000;20021212;20021212;Geen verstrekking in Open Data;N.v.t.;100;1075;;;610;;;200;O2;r. tegen voorste dwarsbalk;2000;;74;Nee;Nee;Nee;;Niet geregistreerd;NG;Ja;2021-09-14T00:00:00.000;2002-12-12T00:00:00.000;2002-12-12T00:00:00.000;100;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ZR979Z;Personenauto;NISSAN;NISSAN QASHQAI;20190906;MPV;PAARS;Niet geregistreerd;1210;1830;20100527;20190906;Geen verstrekking in Open Data;Ja;178;;4;4;0;0;433;178;M1;;1830;0;263;Nee;Nee;Nee;3030;Geen oordeel;05;Ja;2019-09-06T00:00:00.000;2010-05-27T00:00:00.000;2019-09-06T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20220905;4370;5;4;1598;1310;655;1200;22299;J10;e11*2001/116*0295*11;A;A01;0.06;0;;2021;2022-09-05T00:00:00.000;;C;;;;;;;;;;;;;;;;
