kenteken;voertuigsoort;merk;handelsbenaming;datum_tenaamstelling;inrichting;eerste_kleur;tweede_kleur;massa_ledig_voertuig;toegestane_maximum_massa_voertuig;datum_eerste_toelating;datum_eerste_tenaamstelling_in_nederland;wacht_op_keuren;wam_verzekerd;maximale_constructiesnelheid;laadvermogen;aantal_deuren;aantal_wielen;afstand_hart_koppeling_tot_achterzijde_voertuig;afstand_voorzijde_voertuig_tot_hart_koppeling;lengte;breedte;europese_voertuigcategorie;plaats_chassisnummer;technische_max_massa_voertuig;volgnummer_wijziging_eu_typegoedkeuring;wielbasis;export_indicator;openstaande_terugroepactie_indicator;taxi_indicator;maximum_massa_samenstelling;tellerstandoordeel;code_toelichting_tellerstandoordeel;tenaamstellen_mogelijk;datum_tenaamstelling_dt;datum_eerste_toelating_dt;datum_eerste_tenaamstelling_in_nederland_dt;maximum_last_onder_de_vooras_sen_tezamen_koppeling;api_gekentekende_voertuigen_assen;api_gekentekende_voertuigen_brandstof;api_gekentekende_voertuigen_carrosserie;api_gekentekende_voertuigen_carrosserie_specifiek;api_gekentekende_voertuigen_voertuigklasse;vervaldatum_apk;bruto_bpm;aantal_zitplaatsen;aantal_cilinders;cilinderinhoud;massa_rijklaar;maximum_massa_trekken_ongeremd;maximum_trekken_massa_geremd;catalogusprijs;type;typegoedkeuringsnummer;variant;uitvoering;vermogen_massarijklaar;aantal_rolstoelplaatsen;maximum_ondersteunende_snelheid;jaar_laatste_registratie_tellerstand;vervaldatum_apk_dt;hoogte_voertuig;zuinigheidsclassificatie;registratie_datum_goedkeuring_afschrijvingsmoment_bpm;registratie_datum_goedkeuring_afschrijvingsmoment_bpm_dt;aantal_staanplaatsen;vervaldatum_tachograaf;vervaldatum_tachograaf_dt;aanhangwagen_middenas_geremd;europese_voertuigcategorie_toevoeging;europese_uitvoeringcategorie_toevoeging;aanhangwagen_autonoom_geremd;verticale_belasting_koppelpunt_getrokken_voertuig;type_gasinstallatie;oplegger_geremd;subcategorie_nederland;hoogte_voertuig_minimum;hoogte_voertuig_maximum;afwijkende_maximum_snelheid
WSXF69;Aanhangwagen;ANSSEMS;KSX2;20220214;kipper;N.v.t.;N.v.t.;770;3000;20060307;20060307;Geen verstrekking in Open Data;N.v.t.;100;2230;0;0;453;0;456;185;O2;r. tegen voorste dwarsbalk;3000;0;70;Nee;Nee;Nee;0;Niet geregistreerd;NG;Ja;2022-02-14T00:00:00.000;2006-03-07T00:00:00.000;2006-03-07T00:00:00.000;100;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
G348VJ;Personenauto;VOLKSWAGEN;TIGUAN;20200327;stationwagen;ZWART;Niet geregistreerd;1550;2350;20200103;20200103;Geen verstrekking in Open Data;Ja;198;;5;4;0;0;471;186;M1;;2350;0;279;Nee;Nee;Nee;4190;Logisch;00;Ja;2020-03-27T00:00:00.000;2020-01-03T00:00:00.000;2020-01-03T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20240103;7706;7;4;1498;1650;750;1800;49509;5N;e1*2001/116*0450*44;ACDPCAX0;FD7FD7GC008L7R5NVR24BF1CSA;0.07;0;0;2021;2024-01-03T00:00:00.000;166;D;;;;;;;;;;;;;;;;
LHV84Z;Land- of bosb aanhw of getr uitr stuk;KRONE;OPTIMAT 2.5;20211108;Niet geregistreerd;N.v.t.;N.v.t.;;;19730630;20211108;Geen verstrekking in Open Data;Nee;40;;;;;;;;S;;;;;Nee;Nee;Nee;;Niet geregistreerd;NG;Ja;2021-11-08T00:00:00.000;1973-06-30T00:00:00.000;2021-11-08T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37WVZF;Middenasaanhangwagen;HULCO;MEDAX-2;20200319;neerklapbare zijschotten;N.v.t.;N.v.t.;635;3000;20200319;20200319;Geen verstrekking in Open Data;N.v.t.;140;2365;0;4;557;0;560;210;O2;;3000;0;391;Nee;Nee;Nee;0;Niet geregistreerd;NG;Ja;2020-03-19T00:00:00.000;2020-03-19T00:00:00.000;2020-03-19T00:00:00.000;120;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;MEDAX-2;e4*2007/46*0300*03;B;N/A;;0;0;;;96;;;;;;;;;;;;;;;;;
H095JD;Personenauto;VOLVO;XC40;20200212;stationwagen;ZWART;Niet geregistreerd;1581;2180;20200212;20200212;Geen verstrekking in Open Data;Ja;200;;5;4;0;0;443;187;M1;;2180;0;270;Nee;Nee;Ja;3980;Logisch;00;Ja;2020-02-12T00:00:00.000;2020-02-12T00:00:00.000;2020-02-12T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20221112;13488;5;4;1969;1681;750;1800;55020;X;e9*2007/46*3146*07;XZ72;XZ72VD0?;0.07;0;0;2022;2022-11-12T00:00:00.000;163;E;20211020;2021-10-20T00:00:00.000;;;;;;;;;;;;;;
J798RS;Personenauto;SKODA;KAMIQ;20201020;hatchback;GRIJS;Niet geregistreerd;1151;1760;20201020;20201020;Geen verstrekking in Open Data;Ja;193;;5;4;0;0;424;179;M1;;1760;0;264;Nee;Nee;Nee;2960;Logisch;00;Ja;2020-10-20T00:00:00.000;2020-10-20T00:00:00.000;2020-10-20T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20241020;4790;5;3;999;1251;620;1200;29695;NW;e8*2007/46*0349*06;ABCDKRFX0;NFD7FD7CW0074BFSTNK4N1A8A;0.07;0;0;2020;2024-10-20T00:00:00.000;156;C;;;;;;;;;;;;;;;;
WT89PZ;Aanhangwagen;BUERSTNER;4664;20200527;caravan;N.v.t.;N.v.t.;970;1100;19970630;19980605;Geen verstrekking in Open Data;N.v.t.;100;130;;2;663;;;217;O2;tegen r. balk 070 cm v. achteras;1100;;;Nee;Nee;Nee;;Niet geregistreerd;NG;Ja;2020-05-27T00:00:00.000;1997-06-30T00:00:00.000;1998-06-05T00:00:00.000;100;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
L709FX;Personenauto;TOYOTA;TOYOTA C-HR;20210512;hatchback;ZWART;Niet geregistreerd;1460;1930;20210512;20210512;Geen verstrekking in Open Data;Ja;180;;4;4;0;0;440;180;M1;;1930;0;264;Nee;Ja;Nee;2655;Logisch;00;Ja;2021-05-12T00:00:00.000;2021-05-12T00:00:00.000;2021-05-12T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20250512;3146;5;4;1987;1560;725;725;40130;AX1T(EU,M);e6*2007/46*0338*04;MAXH10(H);MAXH10L-AHXGBW(4G);0.07;0;0;2022;2025-05-12T00:00:00.000;156;A;;;;;;;;;;;;;;;;
J099NP;Personenauto;SKODA;KAROQ;20200917;stationwagen;GRIJS;Niet geregistreerd;1295;1952;20200917;20200917;Geen verstrekking in Open Data;Ja;205;;5;4;0;0;438;184;M1;;1952;0;262;Nee;Nee;Nee;3452;Logisch;00;Ja;2020-09-17T00:00:00.000;2020-09-17T00:00:00.000;2020-09-17T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20240917;5658;5;4;1498;1395;690;1500;40879;NU;e8*2007/46*0272*17;ACDPCAX0;NFD7FD7CW0024BI15N0N1A2B;0.08;0;0;2021;2024-09-17T00:00:00.000;162;C;;;;;;;;;;;;;;;;
WD24YN;Aanhangwagen;HOBBY;10 D;20070721;caravan;N.v.t.;N.v.t.;794;1050;19900423;19900423;Geen verstrekking in Open Data;N.v.t.;100;256;;2;583;;;210;O2;r. tegen voorste dwarsbalk;1050;;;Nee;Nee;Nee;;Niet geregistreerd;NG;Ja;2007-07-21T00:00:00.000;1990-04-23T00:00:00.000;1990-04-23T00:00:00.000;100;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
K692ZH;Personenauto;FORD;FOCUS;20210515;stationwagen;GRIJS;Niet geregistreerd;1283;1925;20210331;20210331;Geen verstrekking in Open Data;Ja;198;;4;4;0;0;469;184;M1;;1925;0;270;Nee;Nee;Nee;2925;Logisch;00;Ja;2021-05-15T00:00:00.000;2021-03-31T00:00:00.000;2021-03-31T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20250331;4202;5;3;999;1383;690;1000;32775;DEH;e13*2007/46*1911*06;B7DA1PX;5APBF6AQBBT;0.07;0;0;2021;2025-03-31T00:00:00.000;155;A;;;;;;;;;;;;;;;;
WV02LH;Aanhangwagen;HAPERT;K;20121129;gesloten opbouw;N.v.t.;N.v.t.;480;2000;19990205;19990205;Geen verstrekking in Open Data;N.v.t.;100;1520;;;382;;;175;O2;r. trekdriehoek a. hart koppeling;2000;;75;Nee;Nee;Nee;;Niet geregistreerd;NG;Ja;2012-11-29T00:00:00.000;1999-02-05T00:00:00.000;1999-02-05T00:00:00.000;100;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
H698JR;Personenauto;RENAULT;MEGANE SCENIC;20200219;hatchback;GRIJS;Niet geregistreerd;1395;2080;20110513;20200219;Geen verstrekking in Open Data;Ja;190;;4;4;0;0;456;185;M1;;2080;0;277;Nee;Nee;Nee;3380;Geen oordeel;05;Ja;2020-02-19T00:00:00.000;2011-05-13T00:00:00.000;2020-02-19T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20230217;1620;5;4;1397;1495;745;1300;30696;JZ;e2*2001/116*0379*15;JZ1V;JZ1VA6;0.06;0;0;2022;2023-02-17T00:00:00.000;168;C;;;;;;;;;;;;;;;;
N154LP;Personenauto;NISSAN;NISSAN JUKE;20220209;MPV;WIT;Niet geregistreerd;1178;1710;20160727;20211116;Geen verstrekking in Open Data;Ja;178;;4;4;0;0;414;177;M1;;1710;0;253;Nee;Nee;Nee;2960;Geen oordeel;05;Ja;2022-02-09T00:00:00.000;2016-07-27T00:00:00.000;2021-11-16T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20240207;1192;5;4;1197;1278;639;1250;26290;F15;e11*2007/46*0132*21;E;E02;0.07;0;0;2022;2024-02-07T00:00:00.000;157;;20211104;2021-11-04T00:00:00.000;;;;;;;;;;;;;;
L219BR;Personenauto;TOYOTA;TOYOTA COROLLA;20210420;stationwagen;ZWART;Niet geregistreerd;1345;1955;20210420;20210420;Geen verstrekking in Open Data;Ja;180;;4;4;0;0;465;179;M1;;1955;0;270;Nee;Nee;Nee;2705;Logisch;00;Ja;2021-04-20T00:00:00.000;2021-04-20T00:00:00.000;2021-04-20T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20250420;3014;5;4;1987;1445;450;750;36268;ZE1HE(EU,M);e6*2007/46*0318*04;MZEH12(W);MZEH12L-DWXNBW(7E);0.08;0;0;2022;2025-04-20T00:00:00.000;146;A;;;;;;;;;;;;;;;;
J345LH;Personenauto;KIA;PICANTO;20200903;MPV;WIT;Niet geregistreerd;878;1400;20200903;20200903;Geen verstrekking in Open Data;Ja;161;;5;4;0;0;360;160;M1;;1400;0;240;Nee;Nee;Nee;0;Logisch;00;Ja;2020-09-03T00:00:00.000;2020-09-03T00:00:00.000;2020-09-03T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20240903;1881;5;3;998;978;;;14615;JA;e5*2007/46*1078*01;F5P71;M57DZ1;0.05;0;0;2020;2024-09-03T00:00:00.000;149;B;;;;;;;;;;;;;;;;
J354FT;Personenauto;VOLKSWAGEN;POLO;20200722;hatchback;GRIJS;Niet geregistreerd;1055;1610;20200722;20200722;Geen verstrekking in Open Data;Ja;187;;5;4;0;0;405;175;M1;;1610;0;255;Nee;Nee;Nee;2610;Logisch;00;Ja;2020-07-22T00:00:00.000;2020-07-22T00:00:00.000;2020-07-22T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20240722;3178;5;3;999;1155;570;1000;23700;AW;e1*2007/46*1783*19;ABDKLA;FM5FM5DF002N2VR24BF1BA0;0.06;0;0;2020;2024-07-22T00:00:00.000;143;B;;;;;;;;;;;;;;;;
L972PF;Personenauto;TOYOTA;TOYOTA RAV4;20210906;MPV;ZWART;Niet geregistreerd;1665;2270;20170608;20210709;Geen verstrekking in Open Data;Ja;180;;4;4;0;0;461;185;M1;;2270;1;266;Nee;Ja;Nee;3920;Geen oordeel;05;Ja;2021-09-06T00:00:00.000;2017-06-08T00:00:00.000;2021-07-09T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20230906;2037;5;4;2494;1765;750;1650;42624;XA4(EU,M);e6*2007/46*0166*02;AVA44(N);AVA44L-ANXMBW(5S);0.01;0;0;2022;2023-09-06T00:00:00.000;;;;;;;;;;;;;;;;;;
G772DZ;Personenauto;AUDI;AUDI E-TRON;20190911;stationwagen;GRIJS;Niet geregistreerd;2465;3130;20190911;20190911;Geen verstrekking in Open Data;Ja;200;;4;4;0;0;0;0;M1;;3130;0;293;Nee;Nee;Nee;4930;Logisch;00;Ja;2019-09-11T00:00:00.000;2019-09-11T00:00:00.000;2019-09-11T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20230911;;5;;;2565;750;1800;112040;GE;e1*2007/46*1914*04;XBM1JQ1;QE1QE1G1Z01RT11C210GABEM0;0.06;0;0;2021;2023-09-11T00:00:00.000;;;;;;;;;;;;;;;;;;
WR17XP;Aanhangwagen;AVENTO;ROYAL 445;20150502;caravan;N.v.t.;N.v.t.;974;1300;19971231;19971231;Geen verstrekking in Open Data;N.v.t.;100;326;;;627;;;223;O2;r. op trekdriehoek 060 cm a. hart koppeling;1300;;;Nee;Nee;Nee;;Niet geregistreerd;NG;Ja;2015-05-02T00:00:00.000;1997-12-31T00:00:00.000;1997-12-31T00:00:00.000;75;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LJT26S;Land- of bosb aanhw of getr uitr stuk;VICON;FANEX 1103;20211123;Niet geregistreerd;N.v.t.;N.v.t.;;;20060630;20211123;Geen verstrekking in Open Data;Nee;50;;;;;;;;S;;;;;Nee;Nee;Nee;;Niet geregistreerd;NG;Ja;2021-11-23T00:00:00.000;2006-06-30T00:00:00.000;2021-11-23T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
J868RK;Personenauto;OPEL;ASTRA;20201005;hatchback;WIT;Niet geregistreerd;1293;1905;20150828;20201005;Geen verstrekking in Open Data;Ja;188;;5;4;0;0;442;181;M1;;1905;0;269;Nee;Nee;Nee;3065;Geen oordeel;05;Ja;2020-10-05T00:00:00.000;2015-08-28T00:00:00.000;2020-10-05T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20221002;659;5;4;1598;1393;680;1250;26842;P-J;e1*2007/46*0141*25;CAEUA13;BA1H1EHTJ5;0.06;0;0;2020;2022-10-02T00:00:00.000;151;D;;;;;;;;;;;;;;;;
59WNTH;Middenasaanhangwagen;PROLINE;PL27DS;20220328;neerklapbare zijschotten;N.v.t.;N.v.t.;660;2700;20160322;20160322;Geen verstrekking in Open Data;N.v.t.;100;2040;0;4;532;0;0;209;O2;op r. balk;2700;0;364;Nee;Nee;Nee;0;Niet geregistreerd;NG;Ja;2022-03-28T00:00:00.000;2016-03-22T00:00:00.000;2016-03-22T00:00:00.000;100;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;PL2;e4*2007/46*0512*05;PL27270;N/A;;0;0;;;;;;;;;;;;;;;;;;;;
L092XZ;Personenauto;RENAULT;CAPTUR;20220301;hatchback;WIT;ZWART;1209;1775;20200504;20220301;Geen verstrekking in Open Data;Ja;195;;5;4;0;0;423;180;M1;;1775;0;264;Nee;Nee;Nee;2975;Geen oordeel;05;Ja;2022-03-01T00:00:00.000;2020-05-04T00:00:00.000;2022-03-01T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20240504;1994;5;4;1332;1309;650;1200;27314;RJB;e2*2007/46*0684*03;HE2;MF6TA25A5000;0.07;0;0;2022;2024-05-04T00:00:00.000;;;;;;;;;;;;;;;;;;
08BNV2;Bus;EBUSCO;N/A;20191125;bus;N.v.t.;N.v.t.;12750;19000;20191125;20191125;Geen verstrekking in Open Data;Ja;80;6250;3;6;;;1200;254;M3;;19000;0;585;Nee;Nee;Nee;;Niet geregistreerd;NG;Ja;2019-11-25T00:00:00.000;2019-11-25T00:00:00.000;2019-11-25T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20221102;;43;;;12850;;;;01;e4*2007/46*0986*03;11A2L;3N32E1NGBNJ;0.01;1;;;2022-11-02T00:00:00.000;;;;;51;20211029;2021-10-29T00:00:00.000;;;;;;;;;;;
51WFLK;Aanhangwagen;HENRA;K3;20091219;kipper;N.v.t.;N.v.t.;860;2700;20091219;20091219;Geen verstrekking in Open Data;N.v.t.;100;1840;0;0;451;0;454;191;O2;tegen r. balk 130 cm v. hart asstel;2700;0;70;Nee;Nee;Nee;0;Niet geregistreerd;NG;Ja;2009-12-19T00:00:00.000;2009-12-19T00:00:00.000;2009-12-19T00:00:00.000;100;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
H245JF;Personenauto;FORD;FIESTA;20200213;hatchback;BLAUW;Niet geregistreerd;1064;1685;20200213;20200213;Geen verstrekking in Open Data;Ja;180;;4;4;0;0;407;176;M1;;1685;0;249;Nee;Nee;Nee;0;Logisch;00;Ja;2020-02-13T00:00:00.000;2020-02-13T00:00:00.000;2020-02-13T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20240213;2246;5;3;999;1164;;;24020;JHH;e9*2007/46*3142*12;M0JB1JX;5CDPMNAPJD6;0.06;0;0;2020;2024-02-13T00:00:00.000;150;B;;;;;;;;;;;;;;;;
WZPB34;Aanhangwagen;VAN WEEL;VW1500;20080109;servicewagen;N.v.t.;N.v.t.;1260;1500;20071214;20071214;Geen verstrekking in Open Data;N.v.t.;100;240;;;465;;;170;O2;r. balk;1500;;73;Nee;Nee;Nee;;Niet geregistreerd;NG;Ja;2008-01-09T00:00:00.000;2007-12-14T00:00:00.000;2007-12-14T00:00:00.000;100;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WB09GP;Aanhangwagen;KNAUS;8504;20181117;caravan;N.v.t.;N.v.t.;827;1100;19890627;19890627;Geen verstrekking in Open Data;N.v.t.;100;273;;;657;;;219;O2;tegen r. balk 085 cm v. achteras;1100;;;Nee;Nee;Nee;;Niet geregistreerd;NG;Ja;2018-11-17T00:00:00.000;1989-06-27T00:00:00.000;1989-06-27T00:00:00.000;75;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VLT53P;Bedrijfsauto;PEUGEOT;EXPERT;20211217;gesloten opbouw;N.v.t.;N.v.t.;1660;3100;20200103;20211217;Geen verstrekking in Open Data;Ja;170;1440;;4;;;;192;N1;r. motorruimte;3100;0;328;Nee;Nee;Nee;5000;Geen oordeel;05;Ja;2021-12-17T00:00:00.000;2020-01-03T00:00:00.000;2021-12-17T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20230103;9943;3;4;1997;1760;750;;40979;V;e2*2007/46*0533*09;F;AHXK-B2K01E;0.06;;;2021;2023-01-03T00:00:00.000;;;;;;;;2500;;;;;;;;;;
21MPNG;Motorfiets;SYM;JET X;20210906;Niet geregistreerd;N.v.t.;N.v.t.;133;290;20210906;20210906;Geen verstrekking in Open Data;Ja;99;;0;2;0;0;200;76;L3;;290;0;135;Nee;Nee;Nee;0;Niet geregistreerd;NG;Ja;2021-09-06T00:00:00.000;2021-09-06T00:00:00.000;2021-09-06T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;314;2;1;125;140;;;3266;XH12W2;e13*168/2013*01022*00;B3;02;0.07;0;0;2021;;112;;;;;;;;e;e;;;;;;;;
74BRJG;Bedrijfsauto;VOLKSWAGEN;TRANSPORTER TDI 128 KW DC 1.0 AUT;20220328;gesloten opbouw;N.v.t.;N.v.t.;2020;2800;20041104;20041104;Geen verstrekking in Open Data;Nee;;780;0;4;0;0;0;190;N1;midden tegen schutbord onder motorkap;2800;0;340;Nee;Nee;Nee;5200;Logisch;00;Ja;2022-03-28T00:00:00.000;2004-11-04T00:00:00.000;2004-11-04T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20230209;;6;5;2461;2120;750;;;;;;;0.06;;;2022;2023-02-09T00:00:00.000;;;;;;;;2500;;;2500;;;;;;;
