kenteken;voertuigsoort;merk;handelsbenaming;vervaldatum_apk;datum_tenaamstelling;bruto_bpm;inrichting;aantal_zitplaatsen;eerste_kleur;tweede_kleur;aantal_cilinders;cilinderinhoud;massa_ledig_voertuig;toegestane_maximum_massa_voertuig;massa_rijklaar;maximum_massa_trekken_ongeremd;maximum_trekken_massa_geremd;datum_eerste_toelating;datum_eerste_tenaamstelling_in_nederland;wacht_op_keuren;catalogusprijs;wam_verzekerd;aantal_deuren;aantal_wielen;afstand_hart_koppeling_tot_achterzijde_voertuig;afstand_voorzijde_voertuig_tot_hart_koppeling;lengte;breedte;europese_voertuigcategorie;plaats_chassisnummer;technische_max_massa_voertuig;type;typegoedkeuringsnummer;variant;uitvoering;volgnummer_wijziging_eu_typegoedkeuring;vermogen_massarijklaar;wielbasis;export_indicator;openstaande_terugroepactie_indicator;taxi_indicator;maximum_massa_samenstelling;aantal_rolstoelplaatsen;jaar_laatste_registratie_tellerstand;tellerstandoordeel;code_toelichting_tellerstandoordeel;tenaamstellen_mogelijk;vervaldatum_apk_dt;datum_tenaamstelling_dt;datum_eerste_toelating_dt;datum_eerste_tenaamstelling_in_nederland_dt;zuinigheidsclassificatie;api_gekentekende_voertuigen_assen;api_gekentekende_voertuigen_brandstof;api_gekentekende_voertuigen_carrosserie;api_gekentekende_voertuigen_carrosserie_specifiek;api_gekentekende_voertuigen_voertuigklasse;maximum_ondersteunende_snelheid;type_gasinstallatie;maximum_last_onder_de_vooras_sen_tezamen_koppeling;maximale_constructiesnelheid;hoogte_voertuig;registratie_datum_goedkeuring_afschrijvingsmoment_bpm;registratie_datum_goedkeuring_afschrijvingsmoment_bpm_dt;laadvermogen;aanhangwagen_middenas_geremd;verticale_belasting_koppelpunt_getrokken_voertuig;aanhangwagen_autonoom_geremd
57ZVL7;Personenauto;SUBARU;FORESTER;20230222;20130222;7105;stationwagen;5;BLAUW;Niet geregistreerd;4;1995;1477;2015;1577;750;2000;20130222;20130222;Geen verstrekking in Open Data;32684;Ja;4;4;0;0;460;0;M1;r. onder voorzitting;2015;SJ;e13*2007/46*1305*00;SJ5;530;0;0.07;264;Nee;Nee;Nee;4015;0;2021;Logisch;00;Ja;2023-02-22T00:00:00.000;2013-02-22T00:00:00.000;2013-02-22T00:00:00.000;2013-02-22T00:00:00.000;B;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;
08TFNH;Personenauto;SUBARU;FORESTER;20221217;20211222;8452;stationwagen;5;GRIJS;Niet geregistreerd;4;1994;1380;1880;1480;725;1500;20060808;20060808;Geen verstrekking in Open Data;;Ja;4;4;0;0;449;0;M1;r. op schutbord onder motorkap;1880;;e13*98/14*0087*05;SG5;530;0;0.08;253;Nee;Nee;Nee;3380;0;2021;Logisch;00;Ja;2022-12-17T00:00:00.000;2021-12-22T00:00:00.000;2006-08-08T00:00:00.000;2006-08-08T00:00:00.000;F;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;
1XVK93;Personenauto;SUBARU;SUBARU XV;20221114;20141114;7434;stationwagen;5;GRIJS;Niet geregistreerd;4;1995;1355;1940;1455;650;1200;20141114;20141114;Geen verstrekking in Open Data;31890;Ja;4;4;0;0;445;0;M1;r. bodemplaat by voorzitting;1940;G4;e1*2007/46*0597*04;GX7;5C0;1;0.08;264;Nee;Nee;Nee;3140;0;2021;Logisch;00;Ja;2022-11-14T00:00:00.000;2014-11-14T00:00:00.000;2014-11-14T00:00:00.000;2014-11-14T00:00:00.000;D;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;;;;;;;;;;
04NFXT;Personenauto;SUBARU;FORESTER;20230107;20211009;7986;stationwagen;5;GROEN;GRIJS;4;1994;1350;1880;1450;725;1500;20030828;20030828;Geen verstrekking in Open Data;;Ja;4;4;0;0;0;0;M1;r. op schutbord onder motorkap;1880;;e13*98/14*0087*00;SG5;510;0;0.06;253;Nee;Nee;Nee;3380;0;2021;Onlogisch;04;Ja;2023-01-07T00:00:00.000;2021-10-09T00:00:00.000;2003-08-28T00:00:00.000;2003-08-28T00:00:00.000;E;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;
JB523Z;Personenauto;SUBARU;FORESTER;20220723;20210723;15842;stationwagen;5;WIT;Niet geregistreerd;4;2457;1500;2015;1600;750;2000;20100622;20160205;Geen verstrekking in Open Data;42692;Ja;4;4;0;0;456;0;M1;midden tegen schutbord onder motorkap;2015;SH;e13*2001/116*0982*02;SH9;550;0;0.11;262;Nee;Nee;Nee;4015;0;2021;Geen oordeel;05;Ja;2022-07-23T00:00:00.000;2021-07-23T00:00:00.000;2010-06-22T00:00:00.000;2016-02-05T00:00:00.000;G;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;;;;;;;;;;
49ZDRZ;Personenauto;SUBARU;IMPREZA;20230119;20210120;5475;stationwagen;5;GRIJS;Niet geregistreerd;4;1498;1285;1850;1385;650;1500;20080111;20080111;Geen verstrekking in Open Data;23589;Ja;4;4;0;0;442;0;M1;midden tegen schutbord onder motorkap;1850;;e1*2001/116*0438*00;GH3;020;0;0.06;262;Nee;Nee;Nee;3350;0;2021;Logisch;00;Ja;2023-01-19T00:00:00.000;2021-01-20T00:00:00.000;2008-01-11T00:00:00.000;2008-01-11T00:00:00.000;D;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;
ZL038F;Personenauto;SUBARU;OUTBACK;20230706;20190706;15651;stationwagen;5;GRIJS;Niet geregistreerd;4;2498;1583;2100;1683;750;2000;20190706;20190706;Geen verstrekking in Open Data;50419;Ja;4;4;0;0;482;0;M1;;2100;B6;e1*2007/46*1320*03;BS9;C8L;0;0.08;275;Nee;Nee;Nee;4100;0;2022;Logisch;00;Ja;2023-07-06T00:00:00.000;2019-07-06T00:00:00.000;2019-07-06T00:00:00.000;2019-07-06T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;;;;;;;;;;
70RPGP;Personenauto;SUBARU;FORESTER;20230408;20200930;7304;stationwagen;5;GRIJS;Niet geregistreerd;4;1994;1335;1880;1435;715;1500;20050630;20050630;Geen verstrekking in Open Data;;Ja;4;4;0;0;0;0;M1;r. op schutbord onder motorkap;1880;;e13*98/14*0087*02;SG5;010;1;0.06;253;Nee;Nee;Nee;3380;0;2022;Onlogisch;04;Ja;2023-04-08T00:00:00.000;2020-09-30T00:00:00.000;2005-06-30T00:00:00.000;2005-06-30T00:00:00.000;E;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;
15PBT4;Personenauto;SUBARU;FORESTER;20230114;20110114;9616;stationwagen;5;GEEL;Niet geregistreerd;4;1994;1440;2015;1540;750;2000;20110114;20110114;Geen verstrekking in Open Data;36789;Ja;4;4;0;0;456;0;M1;midden tegen schutbord onder motorkap;2015;SH;e13*2001/116*0982*03;SH5;030;0;0.07;262;Nee;Nee;Nee;4015;0;2021;Logisch;00;Ja;2023-01-14T00:00:00.000;2011-01-14T00:00:00.000;2011-01-14T00:00:00.000;2011-01-14T00:00:00.000;E;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;
98JNT9;Personenauto;SUBARU;FORESTER;20230126;20180126;7428;stationwagen;5;GRIJS;Niet geregistreerd;4;1994;1450;2015;1550;750;1500;20080715;20090713;Geen verstrekking in Open Data;;Ja;4;4;0;0;456;0;M1;midden tegen schutbord onder motorkap;2015;SH;e13*2001/116*0982*00;SH5;530;0;0.07;262;Nee;Ja;Nee;3515;0;2021;Geen oordeel;05;Ja;2023-01-26T00:00:00.000;2018-01-26T00:00:00.000;2008-07-15T00:00:00.000;2009-07-13T00:00:00.000;D;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;
KT729F;Personenauto;SUBARU;FORESTER;20230104;20200527;7274;stationwagen;5;GRIJS;Niet geregistreerd;4;2457;1485;2000;1585;750;2000;20080520;20170110;Geen verstrekking in Open Data;43330;Ja;4;4;0;0;449;0;M1;r. op schutbord onder motorkap;2000;;e13*98/14*0087*06;SG9;550;0;0.11;253;Nee;Nee;Nee;4000;0;2021;Geen oordeel;05;Ja;2023-01-04T00:00:00.000;2020-05-27T00:00:00.000;2008-05-20T00:00:00.000;2017-01-10T00:00:00.000;G;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;
02XRK1;Personenauto;SUBARU;SUBARU TREZIA;20230128;20130207;2547;hatchback;5;GRIJS;Niet geregistreerd;4;1329;1045;1505;1145;550;800;20120831;20120831;Geen verstrekking in Open Data;17549;Ja;4;4;0;0;400;0;M1;r. voorzitting;1505;D1(A);e11*2007/46*0021*00;NSP120(HF);NSP120L-FHFXKW(1A);0;0.06;255;Nee;Nee;Nee;2305;0;2021;Logisch;00;Ja;2023-01-28T00:00:00.000;2013-02-07T00:00:00.000;2012-08-31T00:00:00.000;2012-08-31T00:00:00.000;B;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;;;;;;;;;;
07NSXR;Personenauto;SUBARU;G3X JUSTY;20230219;20090304;3543;stationwagen;5;GRIJS;Niet geregistreerd;4;1328;980;1470;1080;350;800;20040209;20040209;Geen verstrekking in Open Data;;Ja;4;4;0;0;0;0;M1;r. tegen schutbord onder motorkap;1470;;e4*2001/116*0071*01;Y51S;MT;0;0.06;236;Nee;Nee;Nee;2270;0;2022;Logisch;00;Ja;2023-02-19T00:00:00.000;2009-03-04T00:00:00.000;2004-02-09T00:00:00.000;2004-02-09T00:00:00.000;E;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;
57TZK6;Personenauto;SUBARU;FORESTER;20221230;20160426;8400;stationwagen;5;GROEN;Niet geregistreerd;4;1995;1465;2015;1565;750;1500;20120516;20120516;Geen verstrekking in Open Data;38789;Ja;4;4;0;0;456;0;M1;midden tegen schutbord onder motorkap;2015;SH;e13*2001/116*0982*07;SH5;5F0;1;0.07;262;Nee;Ja;Nee;3515;0;2021;Logisch;00;Ja;2022-12-30T00:00:00.000;2016-04-26T00:00:00.000;2012-05-16T00:00:00.000;2012-05-16T00:00:00.000;D;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;;;;;;;;;;
94PDV9;Personenauto;SUBARU;FORESTER;20220921;20110218;8680;stationwagen;5;GROEN;Niet geregistreerd;4;1994;1440;2015;1540;750;2000;20110218;20110218;Geen verstrekking in Open Data;31789;Ja;4;4;0;0;456;0;M1;midden tegen schutbord onder motorkap;2015;SH;e13*2001/116*0982*05;SH5;0F0;0;0.07;262;Nee;Nee;Nee;4015;0;2021;Logisch;00;Ja;2022-09-21T00:00:00.000;2011-02-18T00:00:00.000;2011-02-18T00:00:00.000;2011-02-18T00:00:00.000;E;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;;;;;;;;;;
KH294L;Personenauto;SUBARU;SUBARU FORESTER;20221121;20211218;7435;stationwagen;5;BLAUW;GRIJS;4;1994;1335;1880;1435;715;1500;20030122;20161122;Geen verstrekking in Open Data;;Ja;4;4;0;0;0;0;M1;r. tegen schutbord onder motorkap;1880;SG;e1*2001/116*0209*00;SG5;010;0;0.06;253;Nee;Nee;Nee;3380;0;2022;Geen oordeel;05;Ja;2022-11-21T00:00:00.000;2021-12-18T00:00:00.000;2003-01-22T00:00:00.000;2016-11-22T00:00:00.000;D;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;
17SGDG;Personenauto;SUBARU;SUBARU LEGACY;20221224;20200727;9011;stationwagen;5;GRIJS;Niet geregistreerd;4;2457;1405;1960;1505;750;1800;20051224;20051224;Geen verstrekking in Open Data;;Ja;4;4;0;0;473;0;M1;r. tegen schutbord onder motorkap;1960;;e1*2001/116*0256*01;BP9;0D0;0;0.08;267;Nee;Nee;Nee;3760;0;2021;Logisch;00;Ja;2022-12-24T00:00:00.000;2020-07-27T00:00:00.000;2005-12-24T00:00:00.000;2005-12-24T00:00:00.000;D;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;
XFZL15;Personenauto;SUBARU;LEGACY;20221111;20200428;4754;stationwagen;5;GROEN;Niet geregistreerd;4;1994;1290;1870;1390;500;1600;19981030;19981030;Geen verstrekking in Open Data;;Nee;4;4;0;0;0;0;M1;r. tegen schutbord onder motorkap;1870;;e1*93/81*0009*04;BG5;140;0;0.06;263;Nee;Nee;Nee;2980;0;2021;Logisch;00;Ja;2022-11-11T00:00:00.000;2020-04-28T00:00:00.000;1998-10-30T00:00:00.000;1998-10-30T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;;;;;;;;;;
XSHN94;Personenauto;SUBARU;FORESTER;20221222;20200801;5258;stationwagen;;ROOD;GRIJS;4;;1280;1860;1380;500;1500;19990820;19990820;Geen verstrekking in Open Data;;Ja;4;4;0;0;0;0;M1;r. tegen schutbord onder motorkap;1860;;e13*96/79*0029*00;SF5;010;1;0;253;Nee;Nee;Nee;3360;0;2021;Logisch;00;Ja;2022-12-22T00:00:00.000;2020-08-01T00:00:00.000;1999-08-20T00:00:00.000;1999-08-20T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;;;;;;;;;;
04SHPV;Personenauto;SUBARU;IMPREZA;20230323;20200706;6543;sedan;5;GRIJS;Niet geregistreerd;4;1994;1345;1850;1445;500;1200;20060106;20060106;Geen verstrekking in Open Data;27822;Nee;4;4;0;0;442;0;M1;r. op schutbord onder motorkap;1850;;e1*98/14*0145*09;GDA;040;1;0.11;253;Nee;Nee;Nee;3050;0;2022;Logisch;00;Ja;2023-03-23T00:00:00.000;2020-07-06T00:00:00.000;2006-01-06T00:00:00.000;2006-01-06T00:00:00.000;F;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;
34XSVP;Personenauto;SUBARU;FORESTER;20230115;20140118;7460;stationwagen;5;GROEN;GRIJS;4;1994;1426;1880;1526;715;1500;20071015;20071015;Geen verstrekking in Open Data;30089;Ja;4;4;0;0;449;0;M1;r. op schutbord onder motorkap;1880;;e13*98/14*0087*05;SG5;030;0;0.08;252;Nee;Nee;Nee;3380;0;2021;Logisch;00;Ja;2023-01-15T00:00:00.000;2014-01-18T00:00:00.000;2007-10-15T00:00:00.000;2007-10-15T00:00:00.000;F;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;G3 gasinstallatie;0;;;;;;;;
57RBVB;Personenauto;SUBARU;LEGACY;20230128;20121129;10883;stationwagen;5;GEEL;Niet geregistreerd;4;2457;1415;1970;1515;750;1800;20050128;20050128;Geen verstrekking in Open Data;;Ja;4;4;0;0;473;0;M1;r. tegen schutbord onder motorkap;1970;;e1*2001/116*0228*02;BP9;5D0;0;0.08;267;Nee;Nee;Nee;3770;0;2021;Logisch;00;Ja;2023-01-28T00:00:00.000;2012-11-29T00:00:00.000;2005-01-28T00:00:00.000;2005-01-28T00:00:00.000;D;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;
28FXVT;Personenauto;SUBARU;JUSTY;20220713;20220217;2283;hatchback;5;GRIJS;Niet geregistreerd;4;1298;890;1380;990;495;800;20000810;20000810;Geen verstrekking in Open Data;;Ja;4;4;0;0;385;0;M1;midden tegen schutbord onder motorkap;1380;;e6*93/81*0028*01;G35S;1 5 M/T;1;0.05;237;Nee;Nee;Nee;2180;0;2022;Geen oordeel;01;Ja;2022-07-13T00:00:00.000;2022-02-17T00:00:00.000;2000-08-10T00:00:00.000;2000-08-10T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;
78LLGV;Personenauto;SUBARU;FORESTER;20221224;20200917;6854;stationwagen;5;GRIJS;Niet geregistreerd;4;1994;1335;1880;1435;715;1500;20030219;20030219;Geen verstrekking in Open Data;;Ja;4;4;0;0;0;0;M1;r. op schutbord onder motorkap;1880;;e13*98/14*0087*00;SG5;010;0;0.06;253;Nee;Nee;Nee;3380;0;2022;Logisch;00;Ja;2022-12-24T00:00:00.000;2020-09-17T00:00:00.000;2003-02-19T00:00:00.000;2003-02-19T00:00:00.000;D;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;
86RZHR;Personenauto;SUBARU;IMPREZA;20221229;20150328;7965;sedan;5;GRIJS;Niet geregistreerd;4;1994;1345;1850;1445;500;1200;20030918;20051013;Geen verstrekking in Open Data;;Ja;4;4;0;0;442;0;M1;r. tegen schutbord onder motorkap;1850;;e1*98/14*0145*06;GDA;040;0;0.11;253;Nee;Nee;Nee;3050;0;2021;Geen oordeel;05;Ja;2022-12-29T00:00:00.000;2015-03-28T00:00:00.000;2003-09-18T00:00:00.000;2005-10-13T00:00:00.000;E;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;
15RXKT;Personenauto;SUBARU;IMPREZA;20230130;20100909;6543;sedan;5;GRIJS;Niet geregistreerd;4;1994;1345;1850;1445;500;1200;20060130;20060130;Geen verstrekking in Open Data;27822;Ja;4;4;0;0;442;0;M1;r. op schutbord onder motorkap;1850;;e1*98/14*0145*09;GDA;040;1;0.11;253;Nee;Nee;Nee;3050;0;2021;Logisch;00;Ja;2023-01-30T00:00:00.000;2010-09-09T00:00:00.000;2006-01-30T00:00:00.000;2006-01-30T00:00:00.000;F;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;
JT690L;Personenauto;SUBARU;FORESTER;20230103;20160614;10080;stationwagen;5;BLAUW;Niet geregistreerd;4;1995;1465;2015;1565;750;1500;20140103;20160614;Geen verstrekking in Open Data;47469;Ja;4;4;0;0;456;0;M1;by schutbord;2015;SHS;e1*2001/116*0485*06;SH5;5F0;0;0.07;262;Nee;Nee;Nee;3515;0;2022;Geen oordeel;05;Ja;2023-01-03T00:00:00.000;2016-06-14T00:00:00.000;2014-01-03T00:00:00.000;2016-06-14T00:00:00.000;E;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;;;;;;;;;;
39PTKK;Personenauto;SUBARU;SUBARU FORESTER;20221222;20160408;6400;stationwagen;5;BLAUW;Niet geregistreerd;4;1994;1335;1880;1435;715;1500;20041224;20041224;Geen verstrekking in Open Data;;Ja;4;4;0;0;0;0;M1;r. tegen schutbord onder motorkap;1880;;e1*2001/116*0209*04;SG5;010;0;0.06;252;Nee;Nee;Nee;3380;0;2021;Logisch;00;Ja;2022-12-22T00:00:00.000;2016-04-08T00:00:00.000;2004-12-24T00:00:00.000;2004-12-24T00:00:00.000;E;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;0;;;;;;;;
RX135K;Personenauto;SUBARU;OUTBACK;20240222;20180222;14425;stationwagen;5;GRIJS;Niet geregistreerd;4;2498;1583;2100;1683;750;2000;20180222;20180222;Geen verstrekking in Open Data;49193;Ja;4;4;0;0;482;0;M1;in bodemplaat r. v.;2100;B6;e1*2007/46*1320*03;BS9;C8L;0;0.08;275;Nee;Nee;Nee;4100;0;2022;Logisch;00;Ja;2024-02-22T00:00:00.000;2018-02-22T00:00:00.000;2018-02-22T00:00:00.000;2018-02-22T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;;;;;;;;;;
HTVG99;Personenauto;SUBARU;LEGACY 2.0 GL;20221230;20131121;4313;sedan;;ROOD;Niet geregistreerd;4;1994;1115;1780;1215;500;1200;19940415;19940415;Geen verstrekking in Open Data;;Ja;4;4;0;0;0;0;M1;r. tegen schutbord onder motorkap;1780;;;;;0;0.07;263;Nee;Nee;Nee;2980;;2021;Logisch;00;Ja;2022-12-30T00:00:00.000;2013-11-21T00:00:00.000;1994-04-15T00:00:00.000;1994-04-15T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;
64ZKTX;Personenauto;SUBARU;JUSTY;20221223;20080312;1408;hatchback;5;ZWART;Niet geregistreerd;3;998;865;1390;965;350;750;20080312;20080312;Geen verstrekking in Open Data;11394;Ja;4;4;0;0;361;0;M1;r. op schutbord onder motorkap;1390;;e13*03/97*0147*03;M300LF;GMNEW;0;0.05;243;Nee;Nee;Nee;2140;0;2021;Logisch;00;Ja;2022-12-23T00:00:00.000;2008-03-12T00:00:00.000;2008-03-12T00:00:00.000;2008-03-12T00:00:00.000;B;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;
7TZD20;Personenauto;SUBARU;FORESTER;20230126;20211030;7056;stationwagen;5;GRIJS;Niet geregistreerd;4;1995;1477;2015;1577;750;2000;20140610;20140610;Geen verstrekking in Open Data;37790;Ja;4;4;0;0;460;0;M1;r. onder voorzitting;2015;SJ;e13*2007/46*1305*01;SJ5;530;0;0.07;264;Nee;Nee;Nee;4015;0;2021;Logisch;00;Ja;2023-01-26T00:00:00.000;2021-10-30T00:00:00.000;2014-06-10T00:00:00.000;2014-06-10T00:00:00.000;C;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;
