kenteken;voertuigsoort;merk;handelsbenaming;vervaldatum_apk;datum_tenaamstelling;bruto_bpm;inrichting;aantal_zitplaatsen;eerste_kleur;tweede_kleur;aantal_cilinders;cilinderinhoud;massa_ledig_voertuig;toegestane_maximum_massa_voertuig;massa_rijklaar;maximum_massa_trekken_ongeremd;maximum_trekken_massa_geremd;datum_eerste_toelating;datum_eerste_tenaamstelling_in_nederland;wacht_op_keuren;catalogusprijs;wam_verzekerd;aantal_deuren;aantal_wielen;afstand_hart_koppeling_tot_achterzijde_voertuig;afstand_voorzijde_voertuig_tot_hart_koppeling;lengte;breedte;europese_voertuigcategorie;plaats_chassisnummer;technische_max_massa_voertuig;type;typegoedkeuringsnummer;variant;uitvoering;volgnummer_wijziging_eu_typegoedkeuring;vermogen_massarijklaar;wielbasis;export_indicator;openstaande_terugroepactie_indicator;taxi_indicator;maximum_massa_samenstelling;aantal_rolstoelplaatsen;jaar_laatste_registratie_tellerstand;tellerstandoordeel;code_toelichting_tellerstandoordeel;tenaamstellen_mogelijk;vervaldatum_apk_dt;datum_tenaamstelling_dt;datum_eerste_toelating_dt;datum_eerste_tenaamstelling_in_nederland_dt;zuinigheidsclassificatie;api_gekentekende_voertuigen_assen;api_gekentekende_voertuigen_brandstof;api_gekentekende_voertuigen_carrosserie;api_gekentekende_voertuigen_carrosserie_specifiek;api_gekentekende_voertuigen_voertuigklasse;maximum_ondersteunende_snelheid;type_gasinstallatie;maximum_last_onder_de_vooras_sen_tezamen_koppeling;maximale_constructiesnelheid;hoogte_voertuig;registratie_datum_goedkeuring_afschrijvingsmoment_bpm;registratie_datum_goedkeuring_afschrijvingsmoment_bpm_dt;laadvermogen;aanhangwagen_middenas_geremd;verticale_belasting_koppelpunt_getrokken_voertuig;aanhangwagen_autonoom_geremd
6TNH65;Personenauto;SUBARU;SUBARU XV;20230327;20161116;6552;stationwagen;5;WIT;Niet geregistreerd;4;1600;1360;1940;1460;650;1200;20140327;20140327;Geen verstrekking in Open Data;27190;Ja;4;4;0;0;445;0;M1;r. bodemplaat by voorzitting;1940;G4;e1*2007/46*0597*03;GX3;5A0;0;0.06;264;Nee;Nee;Nee;3140;0;2022;Logisch;00;Ja;2023-03-27T00:00:00.000;2016-11-16T00:00:00.000;2014-03-27T00:00:00.000;2014-03-27T00:00:00.000;C;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;;;;;;;;;;
13SXDT;Personenauto;SUBARU;FORESTER;20220831;20091022;7304;stationwagen;5;GRIJS;Niet geregistreerd;4;1994;1335;1880;1435;715;1500;20060831;20060831;Geen verstrekking in Open Data;;Ja;4;4;0;0;0;0;M1;r. op schutbord onder motorkap;1880;;e13*98/14*0087*02;SG5;010;1;0.06;252;Nee;Nee;Nee;3380;0;2021;Logisch;00;Ja;2022-08-31T00:00:00.000;2009-10-22T00:00:00.000;2006-08-31T00:00:00.000;2006-08-31T00:00:00.000;E;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;0;;;;;;;;
41RDV2;Personenauto;SUBARU;SUBARU TREZIA;20220518;20130726;2806;hatchback;5;GRIJS;Niet geregistreerd;4;1329;1045;1535;1145;550;800;20110511;20110511;Geen verstrekking in Open Data;19049;Ja;4;4;0;0;400;0;M1;r. voorzitting;1535;D1(A);e11*2007/46*0021*00;NSP120(HF);NSP120L-FHFGKW(1A);0;0.06;255;Nee;Nee;Nee;2335;0;2021;Logisch;00;Ja;2022-05-18T00:00:00.000;2013-07-26T00:00:00.000;2011-05-11T00:00:00.000;2011-05-11T00:00:00.000;B;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;;;;;;;;;;
XF562L;Personenauto;SUBARU;IMPREZA;20220630;20181214;16430;stationwagen;5;WIT;Niet geregistreerd;4;2457;1480;1980;1580;750;1200;20080822;20181214;Geen verstrekking in Open Data;;Ja;4;4;0;0;442;0;M1;;1980;G3;e1*2001/116*0438*02;GRF;0E0;0;0.14;263;Nee;Ja;Nee;3180;0;2021;Geen oordeel;05;Ja;2022-06-30T00:00:00.000;2018-12-14T00:00:00.000;2008-08-22T00:00:00.000;2018-12-14T00:00:00.000;G;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;
JZDG97;Personenauto;SUBARU;IMPREZA 1.6 GL U9;20230226;20201214;3739;sedan;;GROEN;Niet geregistreerd;4;1597;1080;1640;1180;500;1200;19950126;19950126;Geen verstrekking in Open Data;;Ja;4;4;0;0;0;0;M1;r. tegen schutbord onder motorkap;1640;;;;;0;0.06;252;Nee;Nee;Nee;2860;;2022;Logisch;00;Ja;2023-02-26T00:00:00.000;2020-12-14T00:00:00.000;1995-01-26T00:00:00.000;1995-01-26T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;
71KLH1;Personenauto;SUBARU;FORESTER;20230226;20100226;8188;stationwagen;5;GRIJS;Niet geregistreerd;4;1994;1440;2015;1540;750;2000;20100226;20100226;Geen verstrekking in Open Data;35190;Ja;4;4;0;0;456;0;M1;midden tegen schutbord onder motorkap;2015;SH;e13*2001/116*0982*00;SH5;030;0;0.07;262;Nee;Nee;Nee;4015;0;2022;Logisch;00;Ja;2023-02-26T00:00:00.000;2010-02-26T00:00:00.000;2010-02-26T00:00:00.000;2010-02-26T00:00:00.000;E;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;
H987TJ;Personenauto;SUBARU;FORESTER;20240520;20200519;7966;stationwagen;5;GRIJS;Niet geregistreerd;4;1995;1500;2015;1600;750;2000;20160323;20200519;Geen verstrekking in Open Data;38679;Ja;4;4;0;0;0;180;M1;;2015;SJ;e13*2007/46*1305*06;SJ5;530;1;0.07;264;Nee;Nee;Nee;4015;0;2022;Geen oordeel;05;Ja;2024-05-20T00:00:00.000;2020-05-19T00:00:00.000;2016-03-23T00:00:00.000;2020-05-19T00:00:00.000;D;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;;;192;;;;;;;
26HPRB;Personenauto;SUBARU;FORESTER;20221018;20220330;6159;stationwagen;5;GRIJS;Niet geregistreerd;4;1994;1320;1875;1420;500;1500;20011005;20011005;Geen verstrekking in Open Data;;Nee;4;4;0;0;0;0;M1;r. tegen schutbord onder motorkap;1875;;e13*98/14*0029*03;SF5;010;1;0.06;253;Ja;Nee;Nee;3375;0;2022;Logisch;00;Nee;2022-10-18T00:00:00.000;2022-03-30T00:00:00.000;2001-10-05T00:00:00.000;2001-10-05T00:00:00.000;E;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;;;;;;;;;;
JJ577T;Personenauto;SUBARU;SUBARU XV;20240406;20160406;8092;stationwagen;5;GRIJS;Niet geregistreerd;4;1995;1365;1940;1465;650;1200;20160406;20160406;Geen verstrekking in Open Data;30690;Ja;4;4;0;0;445;0;M1;in bodemplaat r. v.;1940;G4;e1*2007/46*0597*08;GX7;5G0;0;0.08;264;Nee;Nee;Nee;3140;0;2022;Logisch;00;Ja;2024-04-06T00:00:00.000;2016-04-06T00:00:00.000;2016-04-06T00:00:00.000;2016-04-06T00:00:00.000;E;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;;;;;;;;;;
GZ884T;Personenauto;SUBARU;SUBARU XV;20230925;20170704;7191;stationwagen;5;WIT;Niet geregistreerd;4;1995;1365;1940;1465;650;1200;20150925;20150925;Geen verstrekking in Open Data;33390;Ja;4;4;0;0;445;0;M1;r. bodemplaat by voorzitting;1940;G4;e1*2007/46*0597*06;GX7;5G0;0;0.08;264;Nee;Nee;Nee;3140;0;2021;Logisch;00;Ja;2023-09-25T00:00:00.000;2017-07-04T00:00:00.000;2015-09-25T00:00:00.000;2015-09-25T00:00:00.000;D;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;;;;;;;;;;
