kenteken;voertuigsoort;merk;handelsbenaming;vervaldatum_apk;datum_tenaamstelling;inrichting;aantal_zitplaatsen;eerste_kleur;tweede_kleur;aantal_cilinders;cilinderinhoud;massa_ledig_voertuig;toegestane_maximum_massa_voertuig;massa_rijklaar;maximum_massa_trekken_ongeremd;maximum_trekken_massa_geremd;datum_eerste_toelating;datum_eerste_tenaamstelling_in_nederland;wacht_op_keuren;catalogusprijs;wam_verzekerd;aantal_deuren;aantal_wielen;afstand_hart_koppeling_tot_achterzijde_voertuig;afstand_voorzijde_voertuig_tot_hart_koppeling;lengte;breedte;europese_voertuigcategorie;plaats_chassisnummer;technische_max_massa_voertuig;type;typegoedkeuringsnummer;variant;uitvoering;volgnummer_wijziging_eu_typegoedkeuring;vermogen_massarijklaar;wielbasis;export_indicator;openstaande_terugroepactie_indicator;taxi_indicator;maximum_massa_samenstelling;aantal_rolstoelplaatsen;maximum_ondersteunende_snelheid;jaar_laatste_registratie_tellerstand;tellerstandoordeel;code_toelichting_tellerstandoordeel;tenaamstellen_mogelijk;vervaldatum_apk_dt;datum_tenaamstelling_dt;datum_eerste_toelating_dt;datum_eerste_tenaamstelling_in_nederland_dt;zuinigheidsclassificatie;api_gekentekende_voertuigen_assen;api_gekentekende_voertuigen_brandstof;api_gekentekende_voertuigen_carrosserie;api_gekentekende_voertuigen_carrosserie_specifiek;api_gekentekende_voertuigen_voertuigklasse;bruto_bpm;laadvermogen;aanhangwagen_autonoom_geremd;aanhangwagen_middenas_geremd;maximum_last_onder_de_vooras_sen_tezamen_koppeling;type_gasinstallatie;maximale_constructiesnelheid;hoogte_voertuig;registratie_datum_goedkeuring_afschrijvingsmoment_bpm;registratie_datum_goedkeuring_afschrijvingsmoment_bpm_dt;verticale_belasting_koppelpunt_getrokken_voertuig;oplegger_geremd
8TPD96;Personenauto;FIAT;PANDA;20230331;20140331;MPV;4;BLAUW;Niet geregistreerd;2;875;955;1460;1055;400;800;20140331;20140331;Geen verstrekking in Open Data;14400;Ja;4;4;0;0;365;0;M1;r. kofferruimte;1460;312;e3*2007/46*0064*16;PXN11;P8;0;0.06;230;Nee;Nee;Nee;2260;0;0;2022;Logisch;00;Ja;2023-03-31T00:00:00.000;2014-03-31T00:00:00.000;2014-03-31T00:00:00.000;2014-03-31T00:00:00.000;A;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;
JK707G;Personenauto;FIAT;FIAT PUNTO;20221227;20190709;MPV;5;ZWART;Niet geregistreerd;4;1368;1145;1730;1245;400;1000;20100427;20160412;Geen verstrekking in Open Data;20011;Ja;4;4;0;0;407;0;M1;r. op bodemplaat by voorzitting;1730;199;e3*2001/116*0217*16;BXW1A;46C;0;0.08;251;Nee;Nee;Nee;2730;0;;2021;Onlogisch;04;Ja;2022-12-27T00:00:00.000;2019-07-09T00:00:00.000;2010-04-27T00:00:00.000;2016-04-12T00:00:00.000;B;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;2929;;;;;;;;;;;
XZ496B;Personenauto;FIAT;PANDA;20220616;20211222;MPV;5;WIT;Niet geregistreerd;4;1242;915;1440;1015;400;800;20160825;20191107;Geen verstrekking in Open Data;13560;Ja;4;4;0;0;365;0;M1;;1440;312;e3*2007/46*0064*19;PXA1A;P0N;1;0.05;230;Nee;Nee;Nee;2240;0;0;2021;Geen oordeel;05;Ja;2022-06-16T00:00:00.000;2021-12-22T00:00:00.000;2016-08-25T00:00:00.000;2019-11-07T00:00:00.000;D;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;3946;;;;;;;;;;;
GR778D;Personenauto;FIAT;FIAT 500;20230103;20170105;hatchback;4;GEEL;Niet geregistreerd;4;1242;840;1305;940;470;800;20080811;20150721;Geen verstrekking in Open Data;;Ja;2;4;0;0;355;0;M1;r. op bodemplaat in kofferruimte;1305;;e3*2001/116*0261*00;AXA1A;00;0;0.05;230;Nee;Nee;Nee;2105;0;;2021;Geen oordeel;05;Ja;2023-01-03T00:00:00.000;2017-01-05T00:00:00.000;2008-08-11T00:00:00.000;2015-07-21T00:00:00.000;B;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;1365;;;;;;;;;;;
TBZ79N;Land- of bosbouwtrekker;FIAT;100-90;;20210205;Niet geregistreerd;;N.v.t.;N.v.t.;;;;;;;;19870630;20210205;Geen verstrekking in Open Data;;Ja;;;;;;;T;;;;;;;;0;;Nee;Nee;Nee;;;;;Niet geregistreerd;NG;Ja;;2021-02-05T00:00:00.000;1987-06-30T00:00:00.000;2021-02-05T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;
XJ34BD;Personenauto;FIAT;DUCATO KAMPEERAUTO;20231222;20160823;kampeerwagen;;BEIGE;Niet geregistreerd;4;;2064;;2164;;;19890512;19890512;Geen verstrekking in Open Data;;Ja;3;4;;;;;M1;op bodemplaat by r. voorzitting;;;;;;;0;292;Nee;Nee;Nee;;;;2021;Geen oordeel;07;Ja;2023-12-22T00:00:00.000;2016-08-23T00:00:00.000;1989-05-12T00:00:00.000;1989-05-12T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;0;G2 gasinstallatie;;;;;;
8ZKR58;Personenauto;FIAT;FIAT 500;20240228;20170610;hatchback;4;WIT;Niet geregistreerd;2;875;905;1370;1005;400;800;20150227;20150227;Geen verstrekking in Open Data;20655;Ja;2;4;0;0;0;0;M1;r. kofferruimte;1370;312;e3*2007/46*0064*19;AXN1A;12;1;0.06;230;Nee;Nee;Nee;2170;0;0;2022;Logisch;00;Ja;2024-02-28T00:00:00.000;2017-06-10T00:00:00.000;2015-02-27T00:00:00.000;2015-02-27T00:00:00.000;A;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;
56ZPR6;Personenauto;FIAT;FIAT PUNTO;20230105;20160628;MPV;5;GRIJS;Niet geregistreerd;4;1248;1120;1705;1220;400;1000;20130105;20130105;Geen verstrekking in Open Data;17550;Ja;4;4;0;0;407;0;M1;r. op bodemplaat by voorzitting;1705;199;e3*2001/116*0217*23;BXY1A;49D;0;0.05;251;Nee;Nee;Nee;2705;0;0;2021;Logisch;00;Ja;2023-01-05T00:00:00.000;2016-06-28T00:00:00.000;2013-01-05T00:00:00.000;2013-01-05T00:00:00.000;B;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;814;;;;;;;;;;;
38SBZB;Personenauto;FIAT;FIAT PANDA;20221222;20210225;hatchback;4;GRIJS;Niet geregistreerd;4;1242;835;1305;935;400;800;20051118;20051118;Geen verstrekking in Open Data;;Ja;4;4;0;0;354;0;M1;r. op bodemplaat in kofferruimte;1305;;e3*2001/116*0151*02;AXB1A;01C;1;0.05;230;Nee;Nee;Nee;2105;0;;2021;Logisch;00;Ja;2022-12-22T00:00:00.000;2021-02-25T00:00:00.000;2005-11-18T00:00:00.000;2005-11-18T00:00:00.000;C;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;1941;;;;;;;;;;;
TS316K;Personenauto;FIAT;FIAT 500;20221204;20211222;hatchback;4;GRIJS;Niet geregistreerd;4;1242;840;1305;940;400;800;20091104;20181015;Geen verstrekking in Open Data;;Ja;2;4;0;0;355;0;M1;r. op bodemplaat in kofferruimte;1305;312;e3*2001/116*0261*06;AXA1A;00C;0;0.05;230;Nee;Nee;Nee;2105;0;;2021;Geen oordeel;05;Ja;2022-12-04T00:00:00.000;2021-12-22T00:00:00.000;2009-11-04T00:00:00.000;2018-10-15T00:00:00.000;B;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;1675;;;;;;;;;;;
