kenteken;voertuigsoort;merk;handelsbenaming;vervaldatum_apk;datum_tenaamstelling;inrichting;aantal_zitplaatsen;eerste_kleur;tweede_kleur;aantal_cilinders;cilinderinhoud;massa_ledig_voertuig;toegestane_maximum_massa_voertuig;massa_rijklaar;maximum_massa_trekken_ongeremd;maximum_trekken_massa_geremd;datum_eerste_toelating;datum_eerste_tenaamstelling_in_nederland;wacht_op_keuren;catalogusprijs;wam_verzekerd;aantal_deuren;aantal_wielen;afstand_hart_koppeling_tot_achterzijde_voertuig;afstand_voorzijde_voertuig_tot_hart_koppeling;lengte;breedte;europese_voertuigcategorie;plaats_chassisnummer;technische_max_massa_voertuig;type;typegoedkeuringsnummer;variant;uitvoering;volgnummer_wijziging_eu_typegoedkeuring;vermogen_massarijklaar;wielbasis;export_indicator;openstaande_terugroepactie_indicator;taxi_indicator;maximum_massa_samenstelling;aantal_rolstoelplaatsen;maximum_ondersteunende_snelheid;jaar_laatste_registratie_tellerstand;tellerstandoordeel;code_toelichting_tellerstandoordeel;tenaamstellen_mogelijk;vervaldatum_apk_dt;datum_tenaamstelling_dt;datum_eerste_toelating_dt;datum_eerste_tenaamstelling_in_nederland_dt;zuinigheidsclassificatie;api_gekentekende_voertuigen_assen;api_gekentekende_voertuigen_brandstof;api_gekentekende_voertuigen_carrosserie;api_gekentekende_voertuigen_carrosserie_specifiek;api_gekentekende_voertuigen_voertuigklasse;bruto_bpm;laadvermogen;aanhangwagen_autonoom_geremd;aanhangwagen_middenas_geremd;maximum_last_onder_de_vooras_sen_tezamen_koppeling;type_gasinstallatie;maximale_constructiesnelheid;hoogte_voertuig;registratie_datum_goedkeuring_afschrijvingsmoment_bpm;registratie_datum_goedkeuring_afschrijvingsmoment_bpm_dt;verticale_belasting_koppelpunt_getrokken_voertuig;oplegger_geremd
3KSG01;Personenauto;FIAT;PANDA;20230217;20220217;MPV;4;ZWART;Niet geregistreerd;2;875;955;1460;1055;400;800;20130629;20130629;Geen verstrekking in Open Data;13600;Ja;4;4;0;0;365;0;M1;r. kofferruimte;1460;312;e3*2007/46*0064*05;PXG11;P2;0;0.06;230;Nee;Nee;Nee;2260;0;0;2022;Logisch;00;Ja;2023-02-17T00:00:00.000;2022-02-17T00:00:00.000;2013-06-29T00:00:00.000;2013-06-29T00:00:00.000;A;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;
TZB91B;Land- of bosbouwtrekker;FIAT;640;;20211222;Niet geregistreerd;;N.v.t.;N.v.t.;;;;;;;;19750630;20211222;Geen verstrekking in Open Data;;Nee;;;;;;;T;;;;;;;;0;;Nee;Nee;Nee;;;;;Niet geregistreerd;NG;Ja;;2021-12-22T00:00:00.000;1975-06-30T00:00:00.000;2021-12-22T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;
TTV53R;Land- of bosbouwtrekker;FIAT;640;;20211203;Niet geregistreerd;;N.v.t.;N.v.t.;;;;;;;;19730630;20211203;Geen verstrekking in Open Data;;Ja;;;;;;;T;;;;;;;;0;;Nee;Nee;Nee;;;;;Niet geregistreerd;NG;Ja;;2021-12-03T00:00:00.000;1973-06-30T00:00:00.000;2021-12-03T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;
15JBZ8;Personenauto;FIAT;FIAT 500;20230203;20210205;hatchback;4;BLAUW;Niet geregistreerd;4;1242;875;1340;975;400;800;20090417;20090417;Geen verstrekking in Open Data;15544;Ja;2;4;0;0;355;0;M1;r. op bodemplaat in kofferruimte;1340;312;e3*2001/116*0261*07;AXA11;03C;0;0.05;230;Nee;Nee;Nee;2140;0;;2021;Logisch;00;Ja;2023-02-03T00:00:00.000;2021-02-05T00:00:00.000;2009-04-17T00:00:00.000;2009-04-17T00:00:00.000;A;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;
75RXJ2;Personenauto;FIAT;FIAT 500;20230304;20200307;hatchback;4;WIT;Niet geregistreerd;2;875;915;1380;1015;400;800;20110812;20110812;Geen verstrekking in Open Data;19420;Ja;2;4;0;0;366;0;M1;r. kofferruimte;1380;312;e3*2007/46*0064*00;AXG11;09;0;0.06;230;Nee;Nee;Nee;2180;0;0;2022;Logisch;00;Ja;2023-03-04T00:00:00.000;2020-03-07T00:00:00.000;2011-08-12T00:00:00.000;2011-08-12T00:00:00.000;A;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;
VD878L;Bedrijfsauto;FIAT;SCUDO;20230107;20210111;gesloten opbouw;3;N.v.t.;N.v.t.;4;1560;1692;2661;1792;750;;20130515;20130515;Geen verstrekking in Open Data;24395;Ja;0;4;0;0;0;190;N1;r. watergoot;2661;270;e2*2007/46*0056*07;ZXH1A;ZA;0;0.04;300;Nee;Nee;Nee;4333;0;0;2021;Logisch;00;Ja;2023-01-07T00:00:00.000;2021-01-11T00:00:00.000;2013-05-15T00:00:00.000;2013-05-15T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;6003;969;1672;1672;0;;;;;;;
TJL14S;Land- of bosbouwtrekker;FIAT;65-66 S;;20210809;Niet geregistreerd;;N.v.t.;N.v.t.;;;;;;;;19960630;20210809;Geen verstrekking in Open Data;;Ja;;;;;;;T;;;;;;;;0;;Nee;Nee;Nee;;;;;Niet geregistreerd;NG;Ja;;2021-08-09T00:00:00.000;1996-06-30T00:00:00.000;2021-08-09T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;
95TXKZ;Personenauto;FIAT;FIAT PUNTO;20230217;20200903;MPV;4;BEIGE;Niet geregistreerd;4;1368;1000;1505;1100;400;1000;20070228;20070228;Geen verstrekking in Open Data;;Ja;2;4;0;0;403;0;M1;r. op bodemplaat by voorzitting;1505;;e3*2001/116*0217*03;AXB1A;02C;0;0.05;251;Nee;Nee;Nee;2505;0;;2022;Logisch;00;Ja;2023-02-17T00:00:00.000;2020-09-03T00:00:00.000;2007-02-28T00:00:00.000;2007-02-28T00:00:00.000;C;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;3347;;;;;;;;;;;
7365TS;Personenauto;FIAT;600L;;20180814;Niet geregistreerd;;GROEN;Niet geregistreerd;4;;610;;710;;;19720331;19720331;Geen verstrekking in Open Data;;Ja;2;4;0;0;0;0;M1;;0;;;;;0;0;200;Nee;Nee;Nee;0;;;2021;Geen oordeel;01;Ja;;2018-08-14T00:00:00.000;1972-03-31T00:00:00.000;1972-03-31T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;
84RFK8;Personenauto;FIAT;LIBERTY V643-3G;20221217;20211216;kampeerwagen;4;GRIJS;Niet geregistreerd;4;2287;2781;3500;2881;750;2000;20110408;20110527;Geen verstrekking in Open Data;42017;Ja;3;4;;;;;M1;r. voorwielscherm by voorzitting;3500;;;;;;0.03;380;Nee;Nee;Nee;6000;;;2021;Geen oordeel;05;Ja;2022-12-17T00:00:00.000;2021-12-16T00:00:00.000;2011-04-08T00:00:00.000;2011-05-27T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;10316;;;;0;;;;;;;
ST513N;Personenauto;FIAT;FIAT 500;20220531;20190321;hatchback;4;GRIJS;Niet geregistreerd;2;875;945;1385;1045;400;800;20180531;20180531;Geen verstrekking in Open Data;23720;Ja;3;4;0;0;357;0;M1;;1385;312;e3*2007/46*0064*33;AXN1A;12D;0;0.06;230;Nee;Nee;Nee;2185;0;0;2021;Logisch;00;Ja;2022-05-31T00:00:00.000;2019-03-21T00:00:00.000;2018-05-31T00:00:00.000;2018-05-31T00:00:00.000;B;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;1447;;;;;;;;;;;
V652VK;Bedrijfsauto;FIAT;FIAT FIORINO;20230117;20190117;gesloten opbouw;2;N.v.t.;N.v.t.;4;1368;1155;1680;1255;;;20190117;20190117;Geen verstrekking in Open Data;17880;Ja;;4;;;;172;N1;;1680;225;e3*2007/46*0011*20;BXC1A;A7W;0;0.05;251;Nee;Nee;Nee;1680;;;2021;Logisch;00;Ja;2023-01-17T00:00:00.000;2019-01-17T00:00:00.000;2019-01-17T00:00:00.000;2019-01-17T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;3269;525;;;;Af-fabriek gasinstallatie;;;;;;
77JGJ8;Personenauto;FIAT;FIAT PANDA;20230303;20200420;MPV;4;CREME;Niet geregistreerd;4;1242;835;1305;935;400;800;20090518;20090518;Geen verstrekking in Open Data;12293;Ja;4;4;0;0;354;0;M1;r. bodemplaat;1305;169;e3*2001/116*0151*10;AXB1A;01M;1;0.05;230;Nee;Nee;Nee;2105;0;0;2022;Logisch;00;Ja;2023-03-03T00:00:00.000;2020-04-20T00:00:00.000;2009-05-18T00:00:00.000;2009-05-18T00:00:00.000;B;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;1596;;;;;;;;;;;
SH461B;Personenauto;FIAT;PANDA;;20190316;MPV;5;GRIJS;Niet geregistreerd;2;875;950;1475;1050;400;800;20180330;20180330;Geen verstrekking in Open Data;14249;Ja;5;4;0;0;365;0;M1;in kofferruimte;1475;312;e3*2007/46*0064*37;PXN1A;P7D;0;0.06;230;Ja;Nee;Nee;2275;0;0;2019;Logisch;00;Nee;;2019-03-16T00:00:00.000;2018-03-30T00:00:00.000;2018-03-30T00:00:00.000;B;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;1447;;;;;;;;;;;
3TNX13;Personenauto;FIAT;FIAT PUNTO;20230105;20181222;MPV;5;GRIJS;Niet geregistreerd;2;875;1065;1650;1165;400;1000;20140331;20140331;Geen verstrekking in Open Data;15175;Ja;4;4;0;0;407;0;M1;r. op bodemplaat by voorzitting;1650;199;e3*2001/116*0217*39;BYG1B;61;0;0.06;251;Nee;Nee;Nee;2650;0;0;2021;Logisch;00;Ja;2023-01-05T00:00:00.000;2018-12-22T00:00:00.000;2014-03-31T00:00:00.000;2014-03-31T00:00:00.000;A;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;
11TRLV;Personenauto;FIAT;FIAT PUNTO;20230125;20210204;MPV;5;GRIJS;Niet geregistreerd;4;1242;1005;1590;1105;400;900;20061229;20061229;Geen verstrekking in Open Data;;Ja;4;4;0;0;403;0;M1;r. op bodemplaat by voorzitting;1590;;e3*2001/116*0217*03;BXA1A;01;0;0.04;251;Nee;Nee;Nee;2490;0;;2021;Logisch;00;Ja;2023-01-25T00:00:00.000;2021-02-04T00:00:00.000;2006-12-29T00:00:00.000;2006-12-29T00:00:00.000;B;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;2655;;;;;;;;;;;
99RJL3;Personenauto;FIAT;FIAT PUNTO;20230116;20170405;MPV;5;BLAUW;Niet geregistreerd;4;1248;1120;1705;1220;400;1000;20110531;20110531;Geen verstrekking in Open Data;17570;Ja;4;4;0;0;407;0;M1;r. op bodemplaat by voorzitting;1705;199;e3*2001/116*0217*22;BXY1A;49;0;0.05;251;Nee;Nee;Nee;2705;0;0;2021;Logisch;00;Ja;2023-01-16T00:00:00.000;2017-04-05T00:00:00.000;2011-05-31T00:00:00.000;2011-05-31T00:00:00.000;A;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;
HG079V;Personenauto;FIAT;FIAT 500;20230106;20171002;hatchback;4;BLAUW;Niet geregistreerd;4;1242;840;1305;940;470;800;20080821;20151119;Geen verstrekking in Open Data;;Ja;2;4;0;0;355;0;M1;r. op bodemplaat in kofferruimte;1305;;e3*2001/116*0261*00;AXA1A;00;0;0.05;230;Nee;Nee;Nee;2105;0;;2021;Geen oordeel;05;Ja;2023-01-06T00:00:00.000;2017-10-02T00:00:00.000;2008-08-21T00:00:00.000;2015-11-19T00:00:00.000;B;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;1136;;;;;G3 gasinstallatie;;;;;;
66HPN8;Personenauto;FIAT;FIAT 500;20230215;20090828;hatchback;4;WIT;Niet geregistreerd;4;1242;840;1305;940;400;800;20090203;20090203;Geen verstrekking in Open Data;15247;Ja;2;4;0;0;355;0;M1;r. op bodemplaat in kofferruimte;1305;312;e3*2001/116*0261*06;AXA1A;00C;0;0.05;230;Nee;Nee;Nee;2105;0;;2021;Logisch;00;Ja;2023-02-15T00:00:00.000;2009-08-28T00:00:00.000;2009-02-03T00:00:00.000;2009-02-03T00:00:00.000;B;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;2357;;;;;;;;;;;
33NJRF;Personenauto;FIAT;FIAT STILO SW;20230209;20211221;stationwagen;5;GRIJS;Niet geregistreerd;4;1596;1315;1850;1415;500;1100;20031016;20031016;Geen verstrekking in Open Data;;Ja;4;4;0;0;452;0;M1;r. op bodemplaat v. r. voorzitting;1850;;e3*98/14*0089*02;CXB1A;12H;0;0.05;260;Nee;Nee;Nee;2950;0;;2021;Logisch;00;Ja;2023-02-09T00:00:00.000;2021-12-21T00:00:00.000;2003-10-16T00:00:00.000;2003-10-16T00:00:00.000;C;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;4093;;;;;;;;;;;
TF582J;Personenauto;FIAT;FIAT PANDA;20221019;20211218;MPV;4;ZWART;Niet geregistreerd;4;1242;835;1305;935;400;800;20070118;20180723;Geen verstrekking in Open Data;;Ja;4;4;0;0;354;0;M1;r. op bodemplaat in kofferruimte;1305;169;e3*2001/116*0151*03;AXB1A;01C;1;0.05;230;Nee;Nee;Nee;2105;0;0;2021;Geen oordeel;05;Ja;2022-10-19T00:00:00.000;2021-12-18T00:00:00.000;2007-01-18T00:00:00.000;2018-07-23T00:00:00.000;C;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;1040;;;;;;;;;;;
85SNXJ;Personenauto;FIAT;FIAT PANDA;20220721;20200313;MPV;4;ZWART;Niet geregistreerd;4;1242;835;1305;935;400;800;20060317;20060317;Geen verstrekking in Open Data;;Ja;4;4;0;0;354;0;M1;r. op bodemplaat in kofferruimte;1305;;e3*2001/116*0151*03;AXB1A;01C;1;0.05;230;Nee;Nee;Nee;2105;0;0;2021;Logisch;00;Ja;2022-07-21T00:00:00.000;2020-03-13T00:00:00.000;2006-03-17T00:00:00.000;2006-03-17T00:00:00.000;C;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;1708;;;;;;;;;;;
35ZJT7;Personenauto;FIAT;FIAT PUNTO;20221130;20211222;MPV;5;GRIJS;Niet geregistreerd;2;875;1065;1650;1165;400;1000;20121130;20121130;Geen verstrekking in Open Data;17204;Ja;4;4;0;0;407;0;M1;r. op bodemplaat by voorzitting;1650;199;e3*2001/116*0217*24;BYA1B;53;1;0.05;251;Nee;Nee;Nee;2650;0;0;2021;Logisch;00;Ja;2022-11-30T00:00:00.000;2021-12-22T00:00:00.000;2012-11-30T00:00:00.000;2012-11-30T00:00:00.000;A;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;
8KLV13;Personenauto;FIAT;FIAT 500;20220422;20211207;hatchback;4;GRIJS;Niet geregistreerd;2;875;955;1395;1055;400;800;20130531;20130531;Geen verstrekking in Open Data;22310;Ja;2;4;0;0;355;0;M1;r. kofferruimte;1395;312;e3*2007/46*0064*04;AXG11;09D;0;0.06;230;Nee;Nee;Nee;2195;0;0;2021;Logisch;00;Ja;2022-04-22T00:00:00.000;2021-12-07T00:00:00.000;2013-05-31T00:00:00.000;2013-05-31T00:00:00.000;A;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;
46TXPR;Personenauto;FIAT;FIAT STILO;20230310;20180417;hatchback;5;ZWART;Niet geregistreerd;4;1368;1110;1645;1210;500;1000;20070227;20070227;Geen verstrekking in Open Data;;Ja;2;4;0;0;418;0;M1;r. op bodemplaat v. r. voorzitting;1645;;e3*98/14*0089*08;AXH1B;21B;0;0.06;260;Nee;Nee;Nee;2645;0;;2022;Logisch;00;Ja;2023-03-10T00:00:00.000;2018-04-17T00:00:00.000;2007-02-27T00:00:00.000;2007-02-27T00:00:00.000;C;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;3332;;;;;;;;;;;
3VKT90;Bedrijfsauto;FIAT;FIAT FIORINO;20230217;20110131;gesloten opbouw;2;N.v.t.;N.v.t.;4;1248;1185;1800;1285;400;;20110131;20110131;Geen verstrekking in Open Data;16843;Ja;0;4;0;0;386;172;N1;r. voorzitting;1800;225;e3*2007/46*0011*03;BXB1A;A1R;0;0.04;251;Nee;Nee;Nee;2800;0;;2022;Logisch;00;Ja;2023-02-17T00:00:00.000;2011-01-31T00:00:00.000;2011-01-31T00:00:00.000;2011-01-31T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;4253;615;600;600;0;;;;;;;
V847KH;Bedrijfsauto;FIAT;FIAT DUCATO;20230103;20180103;gesloten opbouw;3;N.v.t.;N.v.t.;4;2287;1875;3000;1975;750;;20180103;20180103;Geen verstrekking in Open Data;44407;Ja;0;4;0;0;0;205;N1;in r. voorwielscherm;3000;250;e3*2007/46*0044*22;A7MFB;GY;0;0.05;345;Nee;Nee;Nee;5500;0;0;2021;Logisch;00;Ja;2023-01-03T00:00:00.000;2018-01-03T00:00:00.000;2018-01-03T00:00:00.000;2018-01-03T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;10757;1125;;2500;;;;;;;;
SB967S;Personenauto;FIAT;FIAT PANDA;20230131;20180412;MPV;4;GRIJS;Niet geregistreerd;4;1242;835;1305;935;400;800;20090303;20180412;Geen verstrekking in Open Data;;Ja;4;4;0;0;354;0;M1;r. op bodemplaat in kofferruimte;1305;;e3*2001/116*0151*03;AXB1A;01C;0;0.05;230;Nee;Nee;Nee;2105;0;0;2021;Geen oordeel;05;Ja;2023-01-31T00:00:00.000;2018-04-12T00:00:00.000;2009-03-03T00:00:00.000;2018-04-12T00:00:00.000;C;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;674;;;;;;;;;;;
68VGT7;Bedrijfsauto;FIAT;DUCATO 33 2.3 JTD M H1;20220601;20211222;gesloten opbouw;3;N.v.t.;N.v.t.;4;2287;1871;3300;1971;750;;20070601;20070601;Geen verstrekking in Open Data;;Ja;0;4;0;0;0;209;N1;tegen r. voorwielscherm by voorzitting;3300;;;;;0;0.04;345;Nee;Nee;Nee;5800;;;2021;Onlogisch;04;Ja;2022-06-01T00:00:00.000;2021-12-22T00:00:00.000;2007-06-01T00:00:00.000;2007-06-01T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;10383;1429;2500;2500;;;;;;;;
59VRS9;Bedrijfsauto;FIAT;FIORINO 1.3 MJ;20230109;20200130;gesloten opbouw;2;N.v.t.;N.v.t.;4;1248;1065;1700;1165;400;600;20080610;20080610;Geen verstrekking in Open Data;;Ja;0;4;0;0;0;172;N1;r. op bodemplaat v. r. voorzitting;1700;;;;;0;0.05;251;Nee;Nee;Nee;2300;;;2021;Niet geregistreerd;NG;Ja;2023-01-09T00:00:00.000;2020-01-30T00:00:00.000;2008-06-10T00:00:00.000;2008-06-10T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;5044;635;;600;;;;;;;;
37SBZB;Personenauto;FIAT;FIAT PANDA;20220909;20211127;hatchback;4;GRIJS;Niet geregistreerd;4;1242;835;1305;935;400;800;20051118;20051118;Geen verstrekking in Open Data;;Ja;4;4;0;0;354;0;M1;r. op bodemplaat in kofferruimte;1305;;e3*2001/116*0151*02;AXB1A;01C;1;0.05;230;Nee;Nee;Nee;2105;0;;2021;Logisch;00;Ja;2022-09-09T00:00:00.000;2021-11-27T00:00:00.000;2005-11-18T00:00:00.000;2005-11-18T00:00:00.000;C;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;1916;;;;;;;;;;;
55RFVL;Personenauto;FIAT;FIAT IDEA;20230106;20160130;MPV;5;ROOD;Niet geregistreerd;4;1368;1130;1655;1230;400;1000;20050311;20050311;Geen verstrekking in Open Data;;Ja;4;4;0;0;393;0;M1;op bodemplaat by r. voorzitting;1655;;e3*2001/116*0153*00;AXA1A;00B;0;0.06;251;Nee;Nee;Nee;2655;0;;2021;Logisch;00;Ja;2023-01-06T00:00:00.000;2016-01-30T00:00:00.000;2005-03-11T00:00:00.000;2005-03-11T00:00:00.000;C;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;4040;;;;;;;;;;;
8TFJ57;Personenauto;FIAT;FIAT 500;20230130;20150812;hatchback;4;PAARS;Niet geregistreerd;2;964;840;1305;940;400;800;20140130;20140130;Geen verstrekking in Open Data;15055;Ja;2;4;0;0;0;0;M1;r. kofferruimte;1305;312;e3*2007/46*0064*11;AXH1A;10G;0;0.05;230;Nee;Nee;Nee;2105;0;0;2021;Logisch;00;Ja;2023-01-30T00:00:00.000;2015-08-12T00:00:00.000;2014-01-30T00:00:00.000;2014-01-30T00:00:00.000;A;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;
