kenteken;voertuigsoort;merk;handelsbenaming;vervaldatum_apk;datum_tenaamstelling;inrichting;aantal_zitplaatsen;eerste_kleur;tweede_kleur;aantal_cilinders;cilinderinhoud;massa_ledig_voertuig;toegestane_maximum_massa_voertuig;massa_rijklaar;datum_eerste_toelating;datum_eerste_tenaamstelling_in_nederland;wacht_op_keuren;wam_verzekerd;oplegger_geremd;aantal_deuren;aantal_wielen;afstand_hart_koppeling_tot_achterzijde_voertuig;afstand_voorzijde_voertuig_tot_hart_koppeling;lengte;breedte;europese_voertuigcategorie;plaats_chassisnummer;technische_max_massa_voertuig;type;typegoedkeuringsnummer;variant;uitvoering;volgnummer_wijziging_eu_typegoedkeuring;vermogen_massarijklaar;wielbasis;export_indicator;openstaande_terugroepactie_indicator;vervaldatum_tachograaf;taxi_indicator;maximum_massa_samenstelling;aantal_rolstoelplaatsen;tellerstandoordeel;code_toelichting_tellerstandoordeel;tenaamstellen_mogelijk;vervaldatum_apk_dt;datum_tenaamstelling_dt;datum_eerste_toelating_dt;datum_eerste_tenaamstelling_in_nederland_dt;vervaldatum_tachograaf_dt;maximum_last_onder_de_vooras_sen_tezamen_koppeling;api_gekentekende_voertuigen_assen;api_gekentekende_voertuigen_brandstof;api_gekentekende_voertuigen_carrosserie;api_gekentekende_voertuigen_carrosserie_specifiek;api_gekentekende_voertuigen_voertuigklasse;maximum_massa_trekken_ongeremd;laadvermogen;aanhangwagen_autonoom_geremd;aanhangwagen_middenas_geremd;maximum_ondersteunende_snelheid;afwijkende_maximum_snelheid;catalogusprijs;maximale_constructiesnelheid;jaar_laatste_registratie_tellerstand;hoogte_voertuig;verticale_belasting_koppelpunt_getrokken_voertuig;registratie_datum_goedkeuring_afschrijvingsmoment_bpm;registratie_datum_goedkeuring_afschrijvingsmoment_bpm_dt;bruto_bpm;maximum_trekken_massa_geremd;aantal_staanplaatsen;subcategorie_nederland
39BGG6;Bedrijfsauto;MAN;TGX;20220918;20211130;opleggertrekker;2;N.v.t.;N.v.t.;6;12419;7806;19500;7906;20150918;20150918;Geen verstrekking in Open Data;Ja;42094;2;4;0;481;630;250;N3;r. balk by vooras;20500;L.2007.46.001;e4*2007/46*0229*20;06X04ZBBABAE2AA;K1ACB;0;0.04;390;Ja;Nee;20230824;Nee;50000;0;Niet geregistreerd;NG;Nee;2022-09-18T00:00:00.000;2021-11-30T00:00:00.000;2015-09-18T00:00:00.000;2015-09-18T00:00:00.000;2023-08-24T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;
23BDG6;Bedrijfsauto;MAN;TGM;20230511;20170522;voor vervoer voertuigen;3;N.v.t.;N.v.t.;6;6871;6765;11990;6865;20131106;20131106;Geen verstrekking in Open Data;Ja;;;4;;847;843;250;N2;r. balk by vooras;11990;L.2007.46.013;;;;;0.03;443;Nee;Nee;20230324;Nee;15490;;Niet geregistreerd;NG;Ja;2023-05-11T00:00:00.000;2017-05-22T00:00:00.000;2013-11-06T00:00:00.000;2013-11-06T00:00:00.000;2023-03-24T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;750;5225;3500;3500;;;;;;;;;;;;;
BXVT18;Bedrijfsauto;MAN;TGS 18.400 4X2 BLS EEV;20221221;20150227;opleggertrekker;2;N.v.t.;N.v.t.;6;10518;7389;19500;7489;20101221;20101221;Geen verstrekking in Open Data;Ja;42611;0;4;0;467;618;250;N3;r. balk by vooras;20500;TGS 2 ACHSER N3 SZM;nl*2001/116*0320*01;SV18D20664X2MBLA;EV06;0;0.04;390;Nee;Nee;20230929;Nee;50000;0;Niet geregistreerd;NG;Ja;2022-12-21T00:00:00.000;2015-02-27T00:00:00.000;2010-12-21T00:00:00.000;2010-12-21T00:00:00.000;2023-09-29T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;0;;;;;;;;;;;;
92BDJ1;Bedrijfsauto;MAN;TGX;20220723;20131223;opleggertrekker;2;N.v.t.;N.v.t.;6;10518;7427;19000;7527;20131223;20131223;Geen verstrekking in Open Data;Ja;42573;0;4;0;463;630;250;N3;r. balk by vooras;20000;L.2007.46.001;e4*NKS*0053*03;06X04A81AA;37530000373700J5ACB;0;0.04;390;Nee;Nee;20240331;Nee;50000;0;Niet geregistreerd;NG;Ja;2022-07-23T00:00:00.000;2013-12-23T00:00:00.000;2013-12-23T00:00:00.000;2013-12-23T00:00:00.000;2024-03-31T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;
66BFL6;Bedrijfsauto;MAN;TGS;20230102;20150108;kipper;2;N.v.t.;N.v.t.;6;12419;20550;49000;20650;20141216;20141230;Geen verstrekking in Open Data;Ja;;;10;;900;980;250;N3;r. balk by vooras;49000;;;;;;0.02;685;Nee;Nee;20221231;Nee;50000;;Niet geregistreerd;NG;Ja;2023-01-02T00:00:00.000;2015-01-08T00:00:00.000;2014-12-16T00:00:00.000;2014-12-30T00:00:00.000;2022-12-31T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;750;28450;19541;11603;;;;;;;;;;;;;
BTTB60;Bedrijfsauto;MAN;TGM 18.280 4X2 BL;20230225;20121022;gesloten opbouw;2;N.v.t.;N.v.t.;6;6871;9980;18600;10140;20080219;20080219;Geen verstrekking in Open Data;Ja;;0;4;0;0;867;255;N3;tegen r. balk v. vooras;18600;TGM 2 ASSER N3;nl*2001/116*0077*04;TGMLU4X2M19D0836BLA;E41B;0;0.02;543;Nee;Nee;20240214;Nee;22100;0;Niet geregistreerd;NG;Ja;2023-02-25T00:00:00.000;2012-10-22T00:00:00.000;2008-02-19T00:00:00.000;2008-02-19T00:00:00.000;2024-02-14T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;8620;;;;;;;;;;;;;;;
96BNF3;Bedrijfsauto;MAN;TGL;20230401;20190405;takelwagen;6;N.v.t.;N.v.t.;4;4580;7460;11990;7560;20190401;20190404;Geen verstrekking in Open Data;Ja;;;4;;;910;240;N2;r. balk by vooras;11990;L.2007.46.011;;;;;0.02;485;Nee;Nee;20230317;Nee;;;Niet geregistreerd;NG;Ja;2023-04-01T00:00:00.000;2019-04-05T00:00:00.000;2019-04-01T00:00:00.000;2019-04-04T00:00:00.000;2023-03-17T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;4530;;;;;;;;;;;;;;;
26BKG6;Bedrijfsauto;MAN;TGS;20221215;20220210;opleggertrekker;2;N.v.t.;N.v.t.;6;12419;7267;19000;7367;20171215;20171215;Geen verstrekking in Open Data;Ja;42633;2;4;0;454;598;250;N3;op balk v. r.;20500;L.2007.46.001;e4*2007/46*0229*28;06S04ZBBABAG9AA;K1ACB;0;0.04;360;Nee;Nee;20231029;Nee;50000;0;Niet geregistreerd;NG;Ja;2022-12-15T00:00:00.000;2022-02-10T00:00:00.000;2017-12-15T00:00:00.000;2017-12-15T00:00:00.000;2023-10-29T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;0;;;;;;;;;;;;
17BLR9;Bedrijfsauto;MAN;TGS;20221217;20181227;afneembare bovenbouw;2;N.v.t.;N.v.t.;6;10518;9335;26500;9435;20181217;20181217;Geen verstrekking in Open Data;Ja;;;8;;945;980;250;N3;r. balk by vooras;26500;L.2007.46.003;;;;;0.02;585;Nee;Nee;20221214;Nee;47000;;Niet geregistreerd;NG;Ja;2022-12-17T00:00:00.000;2018-12-27T00:00:00.000;2018-12-17T00:00:00.000;2018-12-17T00:00:00.000;2022-12-14T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;750;17165;29525;14515;;;;;;;;;;;;;
BJZD25;Bedrijfsauto;MAN;M39;20221129;20161220;geconditioneerd voertuig;;N.v.t.;N.v.t.;6;;10200;18600;10300;20010302;20010302;Geen verstrekking in Open Data;Ja;;;4;;;1064;260;N3;tegen r. balk tussen 1e veerh. en vooras;18600;;;;;;0.02;590;Nee;Nee;20120303;Nee;22100;;Niet geregistreerd;NG;Ja;2022-11-29T00:00:00.000;2016-12-20T00:00:00.000;2001-03-02T00:00:00.000;2001-03-02T00:00:00.000;2012-03-03T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;8400;;;;;;;;;;;;;;;
BRXT92;Bedrijfsauto;MAN;H10;20230426;20171124;afneembare bovenbouw;2;N.v.t.;N.v.t.;6;10518;8336;19000;8525;20060424;20060424;Geen verstrekking in Open Data;Ja;;;4;;955;975;250;N3;tegen r. balk tussen vooras en 1e veerh.;19000;;;;;;0.03;550;Nee;Nee;20190403;Nee;50000;;Niet geregistreerd;NG;Ja;2023-04-26T00:00:00.000;2017-11-24T00:00:00.000;2006-04-24T00:00:00.000;2006-04-24T00:00:00.000;2019-04-03T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;750;10664;41664;18519;;;;;;;;;;;;;
VV91VN;Bedrijfsauto;MAN;12.192 FL/BL-V;20221218;20000706;veewagen;;N.v.t.;N.v.t.;6;;9170;11920;9270;19930708;19930708;Geen verstrekking in Open Data;Ja;;;4;;;864;250;N2;tegen r. balk tussen 1e veerh. en vooras;11920;;;;;;0.02;475;Nee;Nee;20031206;Nee;;;Niet geregistreerd;NG;Ja;2022-12-18T00:00:00.000;2000-07-06T00:00:00.000;1993-07-08T00:00:00.000;1993-07-08T00:00:00.000;2003-12-06T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;2750;;;;;;;;;;;;;;;
07BHG6;Bus;MAN;LION'S COACH L;20220806;20210805;bus;63;N.v.t.;N.v.t.;6;12419;15396;23920;15496;20160530;20160530;Geen verstrekking in Open Data;Ja;;;6;;1389;1380;255;M3;op r. balk t.p.v. vooras;25530;B.2007.46.007;e4*2007/46*0100*25;R0820AZZZZAA7AC;2SACB;0;0.02;807;Nee;Nee;20230804;Nee;26920;;Niet geregistreerd;NG;Ja;2022-08-06T00:00:00.000;2021-08-05T00:00:00.000;2016-05-30T00:00:00.000;2016-05-30T00:00:00.000;2023-08-04T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;750;8524;;3000;;100;;;;;;;;;;;
80BHN5;Bedrijfsauto;MAN;MAN L.2007.46.001-ROLFO TVF;20220829;20160908;voor vervoer voertuigen;2;N.v.t.;N.v.t.;6;12419;11800;19000;11900;20160829;20160829;Geen verstrekking in Open Data;Ja;;2;4;0;655;705;255;N3;r. balk by vooras;19000;M02000R02;e3*2007/46*0418*00;10SBAZBBABDE3AA;H2ACBYYYY;0;0.02;390;Nee;Nee;20240210;Nee;0;0;Niet geregistreerd;NG;Ja;2022-08-29T00:00:00.000;2016-09-08T00:00:00.000;2016-08-29T00:00:00.000;2016-08-29T00:00:00.000;2024-02-10T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;7200;;24000;0;;;;;;;;;;;;
BXLR54;Bus;MAN;LION S COACH EEV;20221208;20201110;bus;51;N.v.t.;N.v.t.;6;10518;13617;18600;13717;20100406;20100406;Geen verstrekking in Open Data;Ja;;0;4;0;0;1200;255;M3;r. dwarsbalk v. vooras;18600;LION`S COACH;nl*2001/116*0055*02;RHCD204X2-2V3;404;0;0.02;606;Nee;Nee;20231125;Nee;0;0;Niet geregistreerd;NG;Ja;2022-12-08T00:00:00.000;2020-11-10T00:00:00.000;2010-04-06T00:00:00.000;2010-04-06T00:00:00.000;2023-11-25T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;4983;;;0;100;;;;;;;;;;;
BZBX01;Bedrijfsauto;MAN;TGS 41.440 8X4 BH;20221211;20210414;asfaltkipper;2;N.v.t.;N.v.t.;6;10518;18735;41000;18835;20110215;20110316;Geen verstrekking in Open Data;Ja;;;8;;844;870;255;N3;r. balk by vooras;41000;;;;;;0.02;610;Nee;Nee;20231126;Nee;50000;;Niet geregistreerd;NG;Ja;2022-12-11T00:00:00.000;2021-04-14T00:00:00.000;2011-02-15T00:00:00.000;2011-03-16T00:00:00.000;2023-11-26T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;750;22265;31265;15008;;;;;;;;;;;;;
04BKN9;Bedrijfsauto;MAN;TGX;20221126;20180523;opleggertrekker;2;N.v.t.;N.v.t.;6;12419;7977;24000;8077;20180228;20180228;Geen verstrekking in Open Data;Ja;41923;2;8;0;449;663;250;N3;op balk v. r.;25000;L.2007.46.002;e4*NKS*0076*17;24X04ZBBABAG8BA;R2ACB;0;0.04;390;Nee;Nee;20231126;Nee;50000;0;Niet geregistreerd;NG;Ja;2022-11-26T00:00:00.000;2018-05-23T00:00:00.000;2018-02-28T00:00:00.000;2018-02-28T00:00:00.000;2023-11-26T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;0;;;;;;;;;;;;
99BFF7;Bedrijfsauto;MAN;TGS;20220728;20141008;opleggertrekker;2;N.v.t.;N.v.t.;6;10518;6971;18600;7071;20141008;20141008;Geen verstrekking in Open Data;Ja;43029;0;4;0;449;598;250;N3;r. balk by vooras;18600;L.2007.46.001;e4*NKS*0053*07;08S04A81AA;35480000353200G7ACB;0;0.04;360;Nee;Nee;20231130;Nee;50000;0;Niet geregistreerd;NG;Ja;2022-07-28T00:00:00.000;2014-10-08T00:00:00.000;2014-10-08T00:00:00.000;2014-10-08T00:00:00.000;2023-11-30T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;
28BDL4;Bedrijfsauto;MAN;TGM;20221218;20131218;voor vervoer voertuigen;2;N.v.t.;N.v.t.;6;6871;11010;15500;11110;20131218;20131218;Geen verstrekking in Open Data;Ja;;;4;;990;1000;252;N3;r. balk by vooras;15500;L.2007.46.009;;;;;0.02;548;Nee;Nee;20221216;Nee;19000;;Niet geregistreerd;NG;Ja;2022-12-18T00:00:00.000;2013-12-18T00:00:00.000;2013-12-18T00:00:00.000;2013-12-18T00:00:00.000;2022-12-16T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;750;4490;3500;3500;;;;;;;;;;;;;
BXTB86;Bedrijfsauto;MAN;TGL 12.250 4X2 BL EEV;20221129;20211026;veewagen;3;N.v.t.;N.v.t.;6;6871;6650;11990;6750;20100923;20100923;Geen verstrekking in Open Data;Ja;;;4;;702;705;255;N2;r. balk by vooras;11990;;;;;;0.03;360;Nee;Nee;20211024;Nee;15490;;Niet geregistreerd;NG;Ja;2022-11-29T00:00:00.000;2021-10-26T00:00:00.000;2010-09-23T00:00:00.000;2010-09-23T00:00:00.000;2021-10-24T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;750;5340;3500;3500;;;;;;;;;;;;;
85BFR9;Bedrijfsauto;MAN;TGA SH264FNLC;20230428;20150302;open laadvloer;2;N.v.t.;N.v.t.;6;10518;7940;26000;8040;20071012;20150225;Geen verstrekking in Open Data;Ja;;;6;;895;900;255;N3;r. balk by vooras;26000;;;;;;0.04;557;Nee;Nee;20230428;Nee;50000;;Niet geregistreerd;NG;Ja;2023-04-28T00:00:00.000;2015-03-02T00:00:00.000;2007-10-12T00:00:00.000;2015-02-25T00:00:00.000;2023-04-28T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;18060;41960;24000;;;;;;;;;;;;;
35BLR8;Bedrijfsauto;MAN;TGX;20221218;20190110;opleggertrekker;2;N.v.t.;N.v.t.;6;12419;7634;19500;7734;20181218;20181218;Geen verstrekking in Open Data;Ja;42266;2;6;0;479;618;250;N3;;21000;L.2007.46.001;e4*2007/46*0229*32;06X04ZBBABAG8AA;K9ACB;0;0.04;390;Nee;Nee;20221123;Nee;50000;0;Niet geregistreerd;NG;Ja;2022-12-18T00:00:00.000;2019-01-10T00:00:00.000;2018-12-18T00:00:00.000;2018-12-18T00:00:00.000;2022-11-23T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;0;;;;;;;;;;;;
21BDB1;Bedrijfsauto;MAN;TGA24/26.440 6X2-2/4BL/LL;20221231;20211129;containercarrier;2;N.v.t.;N.v.t.;6;10518;9450;26000;9550;20070629;20130813;Geen verstrekking in Open Data;Ja;;;6;;940;960;250;N3;r. balk v. vooras;26000;;;;;;0.03;585;Nee;Nee;20231130;Nee;44000;;Niet geregistreerd;NG;Ja;2022-12-31T00:00:00.000;2021-11-29T00:00:00.000;2007-06-29T00:00:00.000;2013-08-13T00:00:00.000;2023-11-30T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;750;16550;34550;15737;;;;;;;;;;;;;
65BKG2;Bedrijfsauto;MAN;TGS;20221201;20210615;containercarrier;2;N.v.t.;N.v.t.;6;10518;10950;20500;11050;20171201;20171201;Geen verstrekking in Open Data;Ja;;;4;;655;695;255;N3;r. balk by vooras;21000;L.2007.46.001;;;;;0.02;390;Nee;Nee;20231126;Nee;50000;;Niet geregistreerd;NG;Ja;2022-12-01T00:00:00.000;2021-06-15T00:00:00.000;2017-12-01T00:00:00.000;2017-12-01T00:00:00.000;2023-11-26T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;750;9550;30080;16946;;;;;;;;;;;;;
BXJN60;Bedrijfsauto;MAN;TGA03;20230312;20200918;afneembare bovenbouw;2;N.v.t.;N.v.t.;6;12419;9200;26000;9300;20070529;20100217;Geen verstrekking in Open Data;Ja;;;6;;940;960;250;N3;r. balk v. vooras;26000;;;;;;0.04;585;Nee;Nee;20230302;Nee;44000;;Niet geregistreerd;NG;Ja;2023-03-12T00:00:00.000;2020-09-18T00:00:00.000;2007-05-29T00:00:00.000;2010-02-17T00:00:00.000;2023-03-02T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;750;16800;24000;13000;;;;;;;;;;;;;
38BDZ6;Bedrijfsauto;MAN;TGX;20220717;20140717;opleggertrekker;2;N.v.t.;N.v.t.;6;10518;7376;19000;7476;20140717;20140717;Geen verstrekking in Open Data;Ja;34624;0;4;0;448;600;250;N3;r. balk by vooras;20500;L.2007.46.001;e4*2007/46*0229*15;06X04A82AA;37540000373800K1ACB;0;0.04;360;Nee;Nee;20220518;Nee;42000;0;Niet geregistreerd;NG;Ja;2022-07-17T00:00:00.000;2014-07-17T00:00:00.000;2014-07-17T00:00:00.000;2014-07-17T00:00:00.000;2022-05-18T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;
BZNB31;Bedrijfsauto;MAN;TGX 26.440 6X2/2 BLS;20221013;20111006;opleggertrekker;2;N.v.t.;N.v.t.;6;10518;8105;27000;8205;20111006;20111006;Geen verstrekking in Open Data;Ja;41895;;6;;461;621;252;N3;r. balk by vooras;27000;;;;;;0.04;395;Nee;Nee;20240211;Nee;50000;;Niet geregistreerd;NG;Ja;2022-10-13T00:00:00.000;2011-10-06T00:00:00.000;2011-10-06T00:00:00.000;2011-10-06T00:00:00.000;2024-02-11T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;
VNH15X;Bedrijfsauto;MAN;TGE;20241201;20211201;open laadvloer;2;N.v.t.;N.v.t.;4;1968;2486;3500;2586;20211201;20211201;Geen verstrekking in Open Data;Nee;;2;6;0;0;700;210;N1;;3500;SZN1Z;e1*2007/46*1634*08;SZCD8DDAWAV2;PN350VSHA8DR001687MP0D2EOMAN;0;0.05;449;Nee;Nee;;Nee;7000;0;Logisch;00;Ja;2024-12-01T00:00:00.000;2021-12-01T00:00:00.000;2021-12-01T00:00:00.000;2021-12-01T00:00:00.000;;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;750;1014;3500;3500;0;;56779;156;2021;232;140;20211123;2021-11-23T00:00:00.000;;;;
BTZZ84;Bedrijfsauto;MAN;TGL 12.210 4X2 BL;20230506;20081209;open wagen;2;N.v.t.;N.v.t.;4;4580;5610;11990;5770;20080506;20080506;Geen verstrekking in Open Data;Ja;;0;4;0;824;830;242;N2;tegen r. balk tussen vooras en 2e veerh.;11990;TGL;nl*2001/116*0114*02;TGLLU4X2M12D0834BLA;E41B;0;0.03;450;Nee;Nee;20240331;Nee;15490;0;Niet geregistreerd;NG;Ja;2023-05-06T00:00:00.000;2008-12-09T00:00:00.000;2008-05-06T00:00:00.000;2008-05-06T00:00:00.000;2024-03-31T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;750;6380;2639;2639;;;;;;;;;;;;;
17BBZ8;Bedrijfsauto;MAN;TGS;20220827;20210119;opleggertrekker;2;N.v.t.;N.v.t.;6;10518;7178;19000;7278;20130813;20130813;Geen verstrekking in Open Data;Ja;36822;0;4;0;443;588;250;N3;r. balk by vooras;20500;L.2007.46.001;e4*2007/46*0229*11;06S04A83AA;37540000373800K1ACB;0;0.03;360;Nee;Nee;20230827;Nee;44000;0;Niet geregistreerd;NG;Ja;2022-08-27T00:00:00.000;2021-01-19T00:00:00.000;2013-08-13T00:00:00.000;2013-08-13T00:00:00.000;2023-08-27T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;
