kenteken;voertuigsoort;merk;handelsbenaming;vervaldatum_apk;datum_tenaamstelling;inrichting;aantal_zitplaatsen;eerste_kleur;tweede_kleur;aantal_cilinders;cilinderinhoud;massa_ledig_voertuig;toegestane_maximum_massa_voertuig;massa_rijklaar;datum_eerste_toelating;datum_eerste_tenaamstelling_in_nederland;wacht_op_keuren;wam_verzekerd;oplegger_geremd;aantal_deuren;aantal_wielen;afstand_hart_koppeling_tot_achterzijde_voertuig;afstand_voorzijde_voertuig_tot_hart_koppeling;lengte;breedte;europese_voertuigcategorie;plaats_chassisnummer;technische_max_massa_voertuig;type;typegoedkeuringsnummer;variant;uitvoering;volgnummer_wijziging_eu_typegoedkeuring;vermogen_massarijklaar;wielbasis;export_indicator;openstaande_terugroepactie_indicator;vervaldatum_tachograaf;taxi_indicator;maximum_massa_samenstelling;aantal_rolstoelplaatsen;tellerstandoordeel;code_toelichting_tellerstandoordeel;tenaamstellen_mogelijk;vervaldatum_apk_dt;datum_tenaamstelling_dt;datum_eerste_toelating_dt;datum_eerste_tenaamstelling_in_nederland_dt;vervaldatum_tachograaf_dt;maximum_last_onder_de_vooras_sen_tezamen_koppeling;api_gekentekende_voertuigen_assen;api_gekentekende_voertuigen_brandstof;api_gekentekende_voertuigen_carrosserie;api_gekentekende_voertuigen_carrosserie_specifiek;api_gekentekende_voertuigen_voertuigklasse;maximum_massa_trekken_ongeremd;laadvermogen;aanhangwagen_autonoom_geremd;aanhangwagen_middenas_geremd;maximum_ondersteunende_snelheid;afwijkende_maximum_snelheid;catalogusprijs;maximale_constructiesnelheid;jaar_laatste_registratie_tellerstand;hoogte_voertuig;verticale_belasting_koppelpunt_getrokken_voertuig;registratie_datum_goedkeuring_afschrijvingsmoment_bpm;registratie_datum_goedkeuring_afschrijvingsmoment_bpm_dt;bruto_bpm;maximum_trekken_massa_geremd;aantal_staanplaatsen;subcategorie_nederland
91BNF3;Bedrijfsauto;MAN;TGS;20230407;20190404;gesloten opbouw;2;N.v.t.;N.v.t.;6;10518;11775;28000;11875;20190403;20190403;Geen verstrekking in Open Data;Ja;;;8;;940;950;255;N3;r. balk by vooras;28000;L.2007.46.003;;;;;0.02;585;Nee;Nee;20240404;Nee;50000;;Niet geregistreerd;NG;Ja;2023-04-07T00:00:00.000;2019-04-04T00:00:00.000;2019-04-03T00:00:00.000;2019-04-03T00:00:00.000;2024-04-04T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;750;16225;27862;14101;;;;;;;;;;;;;
42BNT5;Bedrijfsauto;MAN;TGL;20220920;20190925;gesloten opbouw;2;N.v.t.;N.v.t.;4;4580;6045;11990;6145;20140409;20190920;Geen verstrekking in Open Data;Ja;;;4;;;716;255;N2;;11990;L.2007.46011;;;;;0.03;393;Nee;Nee;20230824;Nee;;;Niet geregistreerd;NG;Ja;2022-09-20T00:00:00.000;2019-09-25T00:00:00.000;2014-04-09T00:00:00.000;2019-09-20T00:00:00.000;2023-08-24T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;5945;;;;;;;;;;;;;;;
56BHX8;Bedrijfsauto;MAN;TGM;20221215;20170120;gesloten opbouw;2;N.v.t.;N.v.t.;6;6871;8491;19000;8591;20161215;20161215;Geen verstrekking in Open Data;Ja;;;4;;;917;255;N3;r. balk by vooras;19000;L.2007.46.010;;;;;0.02;508;Nee;Nee;20221117;Nee;;;Niet geregistreerd;NG;Ja;2022-12-15T00:00:00.000;2017-01-20T00:00:00.000;2016-12-15T00:00:00.000;2016-12-15T00:00:00.000;2022-11-17T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;10509;;;;;;;;;;;;;;;
15BKV5;Bedrijfsauto;MAN;TGX;20230502;20180507;niet nader aangeduid;2;N.v.t.;N.v.t.;6;10518;15895;28000;15995;20180502;20180502;Geen verstrekking in Open Data;Ja;;;8;;;1000;255;N3;r. balk by vooras;28000;L.2007.46.003;;;;;0.02;585;Nee;Nee;20240322;Nee;;;Niet geregistreerd;NG;Ja;2023-05-02T00:00:00.000;2018-05-07T00:00:00.000;2018-05-02T00:00:00.000;2018-05-02T00:00:00.000;2024-03-22T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;12105;;;;;;;;;;;;;;;
47BKP2;Bedrijfsauto;MAN;TGX;20230319;20201208;opleggertrekker;2;N.v.t.;N.v.t.;6;12419;8527;26500;8627;20180314;20180314;Geen verstrekking in Open Data;Ja;41373;2;8;0;449;668;250;N3;op balk v. r.;26500;L.2007.46.002;e4*2007/46*0230*30;24X04ZBBABAG8BB;T9ACB;0;0.04;395;Nee;Nee;20240216;Nee;50000;0;Niet geregistreerd;NG;Ja;2023-03-19T00:00:00.000;2020-12-08T00:00:00.000;2018-03-14T00:00:00.000;2018-03-14T00:00:00.000;2024-02-16T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;0;;;;;;;;;;;;
VBV19J;Bedrijfsauto;MAN;TGE;20220910;20191212;gesloten opbouw;3;N.v.t.;N.v.t.;4;1968;2815;3500;2915;20190910;20190910;Geen verstrekking in Open Data;Ja;;;4;;;;222;N1;;3500;SZN1E;;;;;0.04;449;Nee;Nee;;Nee;6000;;Logisch;00;Ja;2022-09-10T00:00:00.000;2019-12-12T00:00:00.000;2019-09-10T00:00:00.000;2019-09-10T00:00:00.000;;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;750;685;3000;3000;;;52381;;2021;;;;;12651;;;
76BHB7;Bedrijfsauto;MAN;TGX;20220929;20161027;opleggertrekker;2;N.v.t.;N.v.t.;6;12419;7553;19000;7653;20160329;20160329;Geen verstrekking in Open Data;Ja;42347;2;4;0;456;600;250;N3;op balk v. r.;20500;L.2007.46.001;e4*2007/46*0229*22;06X04ZBBABAE2AA;K1ACB;0;0.04;360;Nee;Nee;20220811;Nee;50000;0;Niet geregistreerd;NG;Ja;2022-09-29T00:00:00.000;2016-10-27T00:00:00.000;2016-03-29T00:00:00.000;2016-03-29T00:00:00.000;2022-08-11T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;0;;;;;;;;;;;;
72BGH6;Bedrijfsauto;MAN;TGX;20220904;20150904;opleggertrekker;2;N.v.t.;N.v.t.;6;12419;8483;27000;8583;20150904;20150904;Geen verstrekking in Open Data;Ja;41417;0;6;0;449;668;250;N3;r. balk by vooras;28000;L.2007.46.002;e4*2007/46*0230*19;24X04ZBBABAE2BB;W3ACB;0;0.04;395;Nee;Nee;20240404;Nee;50000;0;Niet geregistreerd;NG;Ja;2022-09-04T00:00:00.000;2015-09-04T00:00:00.000;2015-09-04T00:00:00.000;2015-09-04T00:00:00.000;2024-04-04T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;
V852XZ;Bedrijfsauto;MAN;TGE;20220503;20190503;gesloten opbouw;3;N.v.t.;N.v.t.;4;1968;1998;3500;2098;20190503;20190503;Geen verstrekking in Open Data;Ja;;5;4;0;0;0;204;N1;;3500;SYN1E;e1*2007/46*1626*09;SYBB8ADAVAV3;NM350NSFM6AX002617MM0C3DOMAN;0;0.06;364;Nee;Nee;;Nee;6000;0;Logisch;00;Ja;2022-05-03T00:00:00.000;2019-05-03T00:00:00.000;2019-05-03T00:00:00.000;2019-05-03T00:00:00.000;;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;750;1502;3000;3000;0;;62721;;2019;;;;;15107;;;
22BLN7;Bedrijfsauto;MAN;TGX;20221120;20181120;opleggertrekker;2;N.v.t.;N.v.t.;6;12419;7695;20500;7795;20181120;20181120;Geen verstrekking in Open Data;Ja;42205;;6;;459;628;255;N3;;21000;L.2007.46.001;e4*NKS*0053*22;22X04ZBBABAG9CA;K9ACB;0;0.04;390;Nee;Nee;20221119;Nee;50000;;Niet geregistreerd;NG;Ja;2022-11-20T00:00:00.000;2018-11-20T00:00:00.000;2018-11-20T00:00:00.000;2018-11-20T00:00:00.000;2022-11-19T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;
